id,name,caliber,colorStyle,pen,dmg,grouping,reliability,jamPct,crit,recoil,noise,aimAccuracy,weaponRange,bulletDrop,buckshot,effects,cost,tier,rw,shop
JAZZ_AMMO_12gauge_APSlug,"12-й калибр, ББ Пуля",12gauge,AmmoAPColor,1.5,+38,98%,,2.0,,,,,15,9,,,1800,4,14,True
JAZZ_AMMO_12gauge_Birdshot,"12-й калибр, дробь",12gauge,AmmoBasicColor,0.5,,125%,,,3,,,,,,2000%,BleedingChance,120,1,90,True
JAZZ_AMMO_12gauge_Buckshot,"12-й калибр, Картечь",12gauge,AmmoArmyColor,1.2,400%,112%,,,6,,,,,,900%,,400,2,85,True
JAZZ_AMMO_12gauge_Saltshot,"12-й калибр, соль",12gauge,AmmoHPColor,0.1,20%,130%,,,,,,,,-2,2000%,HeadshotTorsoshotArmsshotLegsshot,70,1,80,True
JAZZ_AMMO_12gauge_Slug,"12-й калибр, Пуля",12gauge,AmmoMatchColor,1.5,+40,95%,,12.0,25,,,,15,8,,,600,3,40,True
JAZZ_AMMO_3006_AP,Патрон 30-06 M2 AP,3006,AmmoAPColor,3.3,80%,98%,-3,2.0,,5,,,,1,,,1350,5,10,True
JAZZ_AMMO_3006_FMJ,Патрон 30-06,3006,AmmoBasicColor,2.4,,,,,,,,,,,,,250,2,100,True
JAZZ_AMMO_3006_Match,Патрон 30-06 M25 Match,3006,AmmoMatchColor,2.6,110%,120%,3,,8,3,,,,3,,,840,4,18,True
JAZZ_AMMO_30_FMJ,.30 Cal M1 Ball,30CAL,AmmoBasicColor,1.6,,,,,,,,,,,,,1200,2,100,True
JAZZ_AMMO_30_P,.30 Cal M18 +P,30CAL,AmmoHPColor,2.1,70%,98%,-3,3.0,,2,,,,2,,,1300,2,80,True
JAZZ_AMMO_30_Tracer,.30 Cal M27 Трассер,30CAL,AmmoTracerColor,1.6,,95%,-2,2.0,,,,,,-1,,ExposedMarkedTraccers,2100,3,45,True
JAZZ_AMMO_357_FMJ,.357 Mag FMJ,357,AmmoBasicColor,1.3,,,,,8,,,,,,,,270,1,100,True
JAZZ_AMMO_357_JHP,.357 Mag JHP,357,AmmoJHPColor,0.8,130%,96%,-8,9.0,25,,,,,-1,,Bleeding,324,2,75,True
JAZZ_AMMO_38special_FMJ,.38 Special FMJ,38,AmmoBasicColor,0.9,,,,,5,,,,,,,,400,1,100,True
