OldID,SourceText,CandidateIDs,Comments,Locations
106938544806,Time to have a word with <em>Dr. Gruselheim</em> and decide what to do with him,268544000970 | 372721817455 | 990062790063,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90376
179343854954,<em>Operation</em>: <em>Produce Kompositum 58</em> is available at the <em>Waffenlabor</em>,246511754646 | 317679455007 | 662854972651,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90881
223227921982,Morale,410859376283 | 438312891528 | 695061456619 | 735552564733,ModItemXTemplate SquadsAndMercs RolloverTitle,jazz:items.lua:77376
245971955403,let <em>Jackhammer</em> go,204080306715 | 230538585605 | 799731083109,ModItemQuestsDef Luigi SpecialConversationMessage,jazz-maps:items.lua:84353
258047549988,Next Wave,319107672555 | 519836353247 | 805887361386,ModItemQuestsDef RescueBiff Label,jazz-maps:items.lua:80579
269806592085,<apn(GetUIActionPoints())>,106414160747 | 284604819801,ModItemXTemplate SquadsAndMercs Text,jazz:items.lua:78399
290710783848,A <em>restless spirit</em> is bothering the <em>Pastor</em> in <em><SectorName('H8')></em>,440712414242 | 540233707501,ModItemQuestsDef PiratesGold Text,jazz-maps:items.lua:88724
302023706060,the <em>clinic</em> is open,243914887691 | 416445487581,ModItemQuestsDef PantagruelClinic SpecialConversationMessage,jazz-maps:items.lua:62820
327282125421,<em>Larry</em> from M.E.R.C. is in <em><SectorName('F7')></em>,855271225964 | 895984647808,ModItemQuestsDef Larry Text,jazz-maps:items.lua:84629
344815712709,<em>Operation</em>: <em>Produce Kompositum 58</em> is available at the <em>Waffenlabor</em>,246511754646 | 317679455007 | 662854972651,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90823
351865941349,<em>Dr. Gruselheim</em> offered to surrender once the <em>Cryolabor</em> where he is held is captured,124644487179 | 221287816048 | 373129537465 | 644722706491,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90168
378851863389,<em>The Cryolabor</em> is under attack by <em>Siegfried von Essen</em> and his remaining Super Soldiers,239028673515 | 496679806415 | 726950651320,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90286
416839499694,<em>Biff</em> is dead,583308245514 | 812229470317,ModItemQuestsDef RescueBiff SpecialConversationMessage,jazz-maps:items.lua:80845
420757017993,<em>Biff</em> is dead,583308245514 | 812229470317,ModItemQuestsDef RescueBiff SpecialConversationMessage,jazz-maps:items.lua:80299
423545189346,<em>Dr. Gruselheim</em> offered to surrender once the <em>Cryolabor</em> where he is held is captured,124644487179 | 221287816048 | 373129537465 | 644722706491,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90202
426196117544,Next Wave,319107672555 | 519836353247 | 805887361386,ModItemQuestsDef RescueBiff Label,jazz-maps:items.lua:80496
485516473142,let <em>Jackhammer</em> go,204080306715 | 230538585605 | 799731083109,ModItemQuestsDef Luigi SpecialConversationMessage,jazz-maps:items.lua:84278
491541908254,<em>Dr. Gruselheim</em> offered to surrender once the <em>Cryolabor</em> where he is held is captured,124644487179 | 221287816048 | 373129537465 | 644722706491,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90100
537013095539,A <em>restless spirit</em> is bothering the <em>Pastor</em> in <em><SectorName('H8')></em>,440712414242 | 540233707501,ModItemQuestsDef PiratesGold Text,jazz-maps:items.lua:88693
559946962669,Next Wave,319107672555 | 519836353247 | 805887361386,ModItemQuestsDef RescueBiff Label,jazz-maps:items.lua:80459
572695775328,Reinforcements incoming,262759711332 | 393125613572 | 442473417965 | 566935437518 | 824225611123,ModItemQuestsDef U-Bahn Label,jazz-maps:items.lua:90971
583546874494,<em>Larry</em> from M.E.R.C. is in <em><SectorName('F7')></em>,855271225964 | 895984647808,ModItemQuestsDef Larry Text,jazz-maps:items.lua:84659
620386452053,<em>The Cryolabor</em> is under attack by <em>Siegfried von Essen</em> and his remaining Super Soldiers,239028673515 | 496679806415 | 726950651320,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90230
626890466814,Morale,410859376283 | 438312891528 | 695061456619 | 735552564733,ModItemXTemplate SquadsAndMercs RolloverTitle,jazz:items.lua:77334
651868632120,<em>Operation</em>: <em>Produce Kompositum 58</em> is available at the <em>Waffenlabor</em>,246511754646 | 317679455007 | 662854972651,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90852
695271470802,Time to have a word with <em>Dr. Gruselheim</em> and decide what to do with him,268544000970 | 372721817455 | 990062790063,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90348
714576391111,Infected,233797600440 | 455768038642 | 476896309486 | 686883983977 | 725879214066 | 899506875716,ModItemQuestsDef Sanatorium ChangeName,jazz-maps:items.lua:66736
726619777867,the <em>clinic</em> is open,243914887691 | 416445487581,ModItemQuestsDef PantagruelClinic SpecialConversationMessage,jazz-maps:items.lua:62815
