Action,MatchKind,ContextKey,OldID,NewID,OldText,NewText,Occurrences,ActiveOccurrences,Packages,States,Locations,GameLocation,CandidateIDs,Applied
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for F8,102139312765,890000000001452,Savanna Coast,Savanna Coast,1,1,jazz-maps,moditems,jazz-maps:items.lua:35548,,102139312765 | 504402203656 | 651631302344 | 686125655967 | 868894864770,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for N24,103040008364,890000000001453,Farmland,Farmland,1,1,jazz-maps,moditems,jazz-maps:items.lua:41755,,103040008364 | 126600612391 | 340166429972 | 568113508607 | 671801258616 | 696031593743 | 767396046195 | 847414401039 | 857182189161 | 960290634722,yes
assign-mod-id,generated-context-not-in-game,BanterDef Shared_Conversation_Legion_13_Outlook Text section:SharedOverheard_Custom/Shared_Conversation_Legion_13_Outlook Stealth hint banters voice:LegionBanterActor2,107400996028,890000000001454,Хрена с два. Мы для этого слишком хитрые.,Хрена с два. Мы для этого слишком хитрые.,1,1,jazz-maps,moditems,jazz-maps:items.lua:107935,,107400996028,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for B15,107689269757,890000000001455,Middle of Nowhere,Middle of Nowhere,1,1,jazz-maps,moditems,jazz-maps:items.lua:32189,,107689269757 | 878447905194,yes
restore-vanilla,generated-context,CampaignPreset HotDiamonds display_name Sector name for A9,109599909548,296385373440,Highlands,Highlands,1,1,jazz-maps,moditems,jazz-maps:items.lua:32082,CampaignPreset HotDiamonds display_name Sector name for A9,109599909548 | 214209723378 | 296385373440 | 368294662072 | 389232961179 | 623794348368 | 626295560563 | 964205144819,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for B11,109599909548,890000000001456,Highlands,Highlands,1,1,jazz-maps,moditems,jazz-maps:items.lua:32144,,109599909548 | 214209723378 | 296385373440 | 368294662072 | 389232961179 | 623794348368 | 626295560563 | 964205144819,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for C13,109599909548,890000000001456,Highlands,Highlands,1,1,jazz-maps,moditems,jazz-maps:items.lua:32712,,109599909548 | 214209723378 | 296385373440 | 368294662072 | 389232961179 | 623794348368 | 626295560563 | 964205144819,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for C27,109599909548,890000000001456,Highlands,Highlands,1,1,jazz-maps,moditems,jazz-maps:items.lua:33120,,109599909548 | 214209723378 | 296385373440 | 368294662072 | 389232961179 | 623794348368 | 626295560563 | 964205144819,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for B28,111536912824,890000000001457,The Eagle's Nest,The Eagle's Nest,1,1,jazz-maps,moditems,jazz-maps:items.lua:32434,,111536912824 | 130608926947,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for F20,115280237493,890000000001458,Cursed Forest,Cursed Forest,1,1,jazz-maps,moditems,jazz-maps:items.lua:35204,,115280237493 | 344714388063 | 414959957372 | 649302248086 | 786216029389 | 973521625755,yes
