sep=,
ID,Text,Translation,VoiceActor,Context
209223300101,Этот наемник умеет контролировать отдачу при стрельбе очередями,,,ModItemMercSpecializations Default Autoriflemen rolloverText
130078610010,Этот наемник специализируется на тяжелом вооружении: пулеметах и гранатометах,,,ModItemMercSpecializations Default HeavyWeapons rolloverText
829801097641,Этот наемник - специалист по скрытным убийствам,,,ModItemMercSpecializations Default Stealth rolloverText
401808456650,<name>,,,ModItemXTemplate PDAAIMBrowser Text
777421034260,<image UI/DesktopGamepad/LB.tga> <image UI/DesktopGamepad/RB.tga> - Сменить категорию,,,ModItemXTemplate PDAAIMBrowser Text
237261536512,Банковский счёт,,,ModItemXTemplate PDAAIMBrowser Text
726812970054,<style AimCopyrightTextC>©</style> AIM 2001,,,ModItemXTemplate PDAAIMBrowser Text
420382889990,О нас,,,ModItemXTemplate PDAAIMBrowser Text
552884507052,Условия использования,,,ModItemXTemplate PDAAIMBrowser Text
788352046875,<MercLevel()>,,,ModItemXTemplate PDAAIMBrowser Text
318935724108,Ур.,,,ModItemXTemplate PDAAIMBrowser Text
558054307582,<Name> ,,,ModItemXTemplate PDAAIMBrowser Text
758071092238,<help>,,,ModItemXTemplate PDAAIMBrowser RolloverText
681053906382,<name>,,,ModItemXTemplate PDAAIMBrowser RolloverTitle
333279184506, ,,,ModItemXTemplate PDAAIMBrowser Text
790867349645,Стоимость за неделю,,,ModItemXTemplate PDAAIMBrowser RolloverTitle
128170339491,Черты,,,ModItemXTemplate PDAAIMBrowser Text
300660277345,Снаряжение,,,ModItemXTemplate PDAAIMBrowser Text
869278798157,Рюкзак,,,ModItemXTemplate PDAAIMBrowser Text
904731868566,БИОГРАФИЯ - <Title>,,,ModItemXTemplate PDAAIMBrowser Text
192091984993,Контактная информация,,,ModItemXTemplate PDAAIMBrowser ActionName
576082948278,Уволить,,,ModItemXTemplate PDAAIMBrowser ActionName
455190021291,Смотреть биографию,,,ModItemXTemplate PDAAIMBrowser ActionName
946771500994,Комплект,,,ModItemXTemplate PDAAIMBrowser ActionName
209223300101,Этот наемник умеет контролировать отдачу при стрельбе очередями,,,ModItemMercSpecializations Default Autoriflemen rolloverText
130078610010,Этот наемник специализируется на тяжелом вооружении: пулеметах и гранатометах,,,ModItemMercSpecializations Default HeavyWeapons rolloverText
829801097641,Этот наемник - специалист по скрытным убийствам,,,ModItemMercSpecializations Default Stealth rolloverText
401808456650,<name>,,,ModItemXTemplate PDAAIMBrowser Text
777421034260,<image UI/DesktopGamepad/LB.tga> <image UI/DesktopGamepad/RB.tga> - Сменить категорию,,,ModItemXTemplate PDAAIMBrowser Text
237261536512,Банковский счёт,,,ModItemXTemplate PDAAIMBrowser Text
726812970054,<style AimCopyrightTextC>©</style> AIM 2001,,,ModItemXTemplate PDAAIMBrowser Text
420382889990,О нас,,,ModItemXTemplate PDAAIMBrowser Text
552884507052,Условия использования,,,ModItemXTemplate PDAAIMBrowser Text
788352046875,<MercLevel()>,,,ModItemXTemplate PDAAIMBrowser Text
318935724108,Ур.,,,ModItemXTemplate PDAAIMBrowser Text
558054307582,<Name> ,,,ModItemXTemplate PDAAIMBrowser Text
758071092238,<help>,,,ModItemXTemplate PDAAIMBrowser RolloverText
681053906382,<name>,,,ModItemXTemplate PDAAIMBrowser RolloverTitle
333279184506, ,,,ModItemXTemplate PDAAIMBrowser Text
790867349645,Стоимость за неделю,,,ModItemXTemplate PDAAIMBrowser RolloverTitle
128170339491,Черты,,,ModItemXTemplate PDAAIMBrowser Text
300660277345,Снаряжение,,,ModItemXTemplate PDAAIMBrowser Text
869278798157,Рюкзак,,,ModItemXTemplate PDAAIMBrowser Text
904731868566,БИОГРАФИЯ - <Title>,,,ModItemXTemplate PDAAIMBrowser Text
192091984993,Контактная информация,,,ModItemXTemplate PDAAIMBrowser ActionName
