sep=,
ID,Text,Translation,VoiceActor,Context
146891845233,Этот наемник умеет контролировать отдачу при стрельбе очередями,,,ModItemMercSpecializations Default Autoriflemen rolloverText
530599596612,Этот наемник специализируется на тяжелом вооружении: пулеметах и гранатометах,,,ModItemMercSpecializations Default HeavyWeapons rolloverText
253735271549,Этот наемник - специалист по скрытным убийствам,,,ModItemMercSpecializations Default Stealth rolloverText
951344242125,<name>,,,ModItemXTemplate PDAAIMBrowser Text
946172936045,<image UI/DesktopGamepad/LB.tga> <image UI/DesktopGamepad/RB.tga> - Сменить категорию,,,ModItemXTemplate PDAAIMBrowser Text
195398296794,Банковский счёт,,,ModItemXTemplate PDAAIMBrowser Text
173653436963,<style AimCopyrightTextC>©</style> AIM 2001,,,ModItemXTemplate PDAAIMBrowser Text
382014103388,О нас,,,ModItemXTemplate PDAAIMBrowser Text
418277357103,Условия использования,,,ModItemXTemplate PDAAIMBrowser Text
346086449883,<MercLevel()>,,,ModItemXTemplate PDAAIMBrowser Text
562906327304,Ур.,,,ModItemXTemplate PDAAIMBrowser Text
862897735770,<Name> ,,,ModItemXTemplate PDAAIMBrowser Text
709674725815,<help>,,,ModItemXTemplate PDAAIMBrowser RolloverText
729159373320,<name>,,,ModItemXTemplate PDAAIMBrowser RolloverTitle
985514983456, ,,,ModItemXTemplate PDAAIMBrowser Text
750450877596,Стоимость за неделю,,,ModItemXTemplate PDAAIMBrowser RolloverTitle
287234349037,Черты,,,ModItemXTemplate PDAAIMBrowser Text
275295702962,Снаряжение,,,ModItemXTemplate PDAAIMBrowser Text
977908382668,Рюкзак,,,ModItemXTemplate PDAAIMBrowser Text
623039804594,БИОГРАФИЯ - <Title>,,,ModItemXTemplate PDAAIMBrowser Text
128093190012,Контактная информация,,,ModItemXTemplate PDAAIMBrowser ActionName
605299648012,Уволить,,,ModItemXTemplate PDAAIMBrowser ActionName
510250753405,Смотреть биографию,,,ModItemXTemplate PDAAIMBrowser ActionName
915717676997,Комплект,,,ModItemXTemplate PDAAIMBrowser ActionName
183093543791,LegionTier1,,,ModItemEmail LegionTier1 title
342619813681,JAZZ,,,ModItemEmail LegionTier1 sender
767218055918,"Тир1-1
",,,ModItemEmail LegionTier1 body
183093543791,LegionTier2,,,ModItemEmail LegionTier2 title
342619813681,JAZZ,,,ModItemEmail LegionTier2 sender
767218055918,"Тир1-2
",,,ModItemEmail LegionTier2 body
183093543791,LegionTier3,,,ModItemEmail LegionTier3 title
342619813681,JAZZ,,,ModItemEmail LegionTier3 sender
767218055918,"Тир1-3
",,,ModItemEmail LegionTier3 body
183093543791,LegionTier4,,,ModItemEmail LegionTier4 title
342619813681,JAZZ,,,ModItemEmail LegionTier4 sender
767218055918,"Тир2-1
",,,ModItemEmail LegionTier4 body
183093543791,LegionTier5,,,ModItemEmail LegionTier5 title
342619813681,JAZZ,,,ModItemEmail LegionTier5 sender
767218055918,"Тир2-2
",,,ModItemEmail LegionTier5 body
329699433258,Тиры легиона,,,ModItemQuestsDef JAZZ_LegionTier DisplayName
919590693662,9x19 мм,,,ModItemCaliber Default JAZZ_Caliber_9x19 Name
765908794085,9x18 мм,,,ModItemCaliber Default JAZZ_Caliber_9x18 Name
939801226770,9x39 мм,,,ModItemCaliber Default JAZZ_Caliber_9x39 Name
930169156607,7.62x25 мм,,,ModItemCaliber Default JAZZ_Caliber_762x25 Name
346459575064,0.44,,,ModItemCaliber Default JAZZ_Caliber_44CAL Name
346459575064,0.30,,,ModItemCaliber Default JAZZ_Caliber_30CAL Name
346459575064,0.38,,,ModItemCaliber Default JAZZ_Caliber_38 Name
346459575064,0.357 MAG,,,ModItemCaliber Default JAZZ_Caliber_357 Name
346459575064,0.50 AE,,,ModItemCaliber Default JAZZ_Caliber_50AE Name
598752828060,0.45ACP,,,ModItemCaliber Default JAZZ_Caliber_45ACP Name
865784012274,12-й калибр,,,ModItemCaliber Default JAZZ_Caliber_12gauge Name
933407067993,"5,56 мм",,,ModItemCaliber Default JAZZ_Caliber_556 Name
865164592008,"5,45x39 мм СССР",,,ModItemCaliber Default JAZZ_Caliber_545 Name
720569612434,"5,7 мм",,,ModItemCaliber Default JAZZ_Caliber_57 Name
720587129077,"4,6 мм",,,ModItemCaliber Default JAZZ_Caliber_46 Name
395248477224,30-06,,,ModItemCaliber Default JAZZ_Caliber_3006 Name
195287283557,"7,62x39 мм СССР",,,ModItemCaliber Default JAZZ_Caliber_762x39 Name
195287283557,"7,62x33 мм Kurz",,,ModItemCaliber Default JAZZ_Caliber_792x33 Name
170260753586,"7,62 мм НАТО",,,ModItemCaliber Default JAZZ_Caliber_762x51 Name
408013977781,762x54R СССР,,,ModItemCaliber Default JAZZ_Caliber_762x54R Name
315192221511,7.92х57мм,,,ModItemCaliber Default JAZZ_Caliber_792 Name
315192221511,7.5×54мм,,,ModItemCaliber Default JAZZ_Caliber_75French Name
410640021530,0.5,,,ModItemCaliber Default JAZZ_Caliber_50BMG Name
369907049645,40 мм,,,ModItemCaliber Default JAZZ_Caliber_40mmGrenade Name
935759010639,Выстрел,,,ModItemCaliber Default JAZZ_Caliber_MortarShell Name
930388598465,Гранатометный снаряд,,,ModItemCaliber Default JAZZ_Caliber_Warhead Name
137562615859,Сигнальная ракета,,,ModItemCaliber Default JAZZ_Caliber_Flare Name
451736198437,5.7mm,,,ModItemBobbyRayShopSubCategory Ammo 57 DisplayName
486843593104,"5,45x39 мм",,,ModItemBobbyRayShopSubCategory Ammo 545 DisplayName
828931318837,9x19,,,ModItemBobbyRayShopSubCategory Ammo 9mm DisplayName
287426986485,.45ACP,,,ModItemBobbyRayShopSubCategory Ammo 45ACP DisplayName
167070341336,762x25,,,ModItemBobbyRayShopSubCategory Ammo 762x25 DisplayName
