sep=,
ID,Text,Translation,VoiceActor,Context
150305559142,500 7.62x54 LPS cartridges,,,ModItemBanterDef Stall_762x54LPS_500 Text
625711628464,50 9x18 cartridges,,,ModItemBanterDef Stall_9x18 Text
851058546860,Handful of 7.62x39 cartridges,,,ModItemBanterDef Stall_Random_762WPrandom_Parts Text
328039583231,Handful of 12 gauge cartridges,,,ModItemBanterDef Stall_Random_12Gauge Text
803201721899,Type 56 with bayonet,,,ModItemBanterDef Stall_Type56_2k Text
886718945352,Stechkin Automatic Pistol,,,ModItemBanterDef Stall_APS_Tiny_Diamond Text
968254389377,7.62x25mm cartridges,,,ModItemBanterDef Stall_Barter_762x25_Knife Text
619128627841,7.62x39 PS cartridges (Army),,,ModItemBanterDef Stall_Barter_762x39PS Text
620219516865,Landsbach,,,
442516764606,Drachenberg Mine,,,
323466597390,"Diesel Clinic",,,
854571918784,Metro Station A,,,
308950187945,Camp on the hill,,,
425893484624,Military outpost - Mountain,,,
351600997529,Mountains,,,
851646053486,Mountains,,,
495513640483,Diamond Red,,,
111536912824,Eagle's Nest,,,
263718848685,Nowhere,,,
468290459033,Cave in the savanna,,,
535901703196,Wastelands,,,
982737667772,Mountains,,,
826339210077,Clifftop,,,
620660665480,Crossroads of Dead Beasts,,,
760941588357,Wastelands,,,
641955441671,Wastelands,,,
468361198430,Old gas station,,,
849469414167,Mountains,,,
278429472343,Pit stop,,,
105841267978,Savanna coast,,,
776271330418,Gull Island,,,
743091327405,Sturmwasser Island,,,
685901275490,Rift,,,
861144476559,Sturmwasser Canyon,,,
367207549789,Freebie Seeker's Cave,,,
299254523561,Stone steps,,,
282257107633,Oasis,,,
929083374712,Cam Grand Prix,,,
722143668182,Mountains,,,
510202168289,Mountains,,,
870033354295,Mountains,,,
816330931329,Fosse-Noire,,,
394862111109,Savanna,,,
563315434102,Poachers' camp,,,
547505775524,Savanna,,,
851181592647,Savanna,,,
722597607076,Wherewherewhere,,,
160548808448,Hut in the forest,,,
362300472642,Riverbank in the savanna,,,
797984509022,Center of Pantagruel,,,
580447225647,Pantagruel slums,,,
149503142162,Pantagruel outskirts,,,
958129071008,Savanna,,,
535826827958,Savanna,,,
561867464607,Cam-Savanna,,,
869149352694,Savanna,,,
179638259190,Brokenhill Cemetery,,,
588901431087,Île-Mora,,,
663273681789,Swamps,,,
542953130301,Riverbank in the jungle,,,
256134986000,Cursed forest,,,
464798113837,Hyenas' hideout,,,
514212765118,Cursed forest,,,
421444477169,Jungle shore,,,
697092134355,Riverbank in the jungle,,,
954736904055,Refugee camp,,,
750412214505,Savanna,,,
755793762628,Savanna,,,
746831907861,Savanna coast,,,
544596907986,Marshes,,,
251099843489,El Mora,,,
794687208333,Chalet de la Paix,,,
433703198777,Cursed forest,,,
612776379237,Cam-Chien-Sauvage,,,
278065061283,Riverbank in the jungle,,,
493913960829,Great forest,,,
884980086575,Savanna,,,
300355091122,Savanna,,,
541857328963,Savanna,,,
242442320813,La Palisade,,,
191576416065,Côte d'Azur,,,
260390996640,Gloomy village,,,
402575772484,Wassergrab deposit,,,
441551571400,Bianc-Chien Island,,,
297761234111,Marshes,,,
130230429232,Riverbank in the jungle,,,
651098705600,Great forest,,,
272495633070,Metro Station B,,,
932397913085,Old fortifications,,,
798900424828,Bunker,,,
614227246678,Riverbank,,,
647441593762,Fleetown flea market,,,
473242751429,Fleetown district La-Boué,,,
584766347441,Burial grounds,,,
404334134277,Jungle,,,
182607269744,Mfumu Mine,,,
705677396519,Savanna,,,
741191269749,Crossroads,,,
221818809422,Savanna,,,
504394602813,Savanna coast,,,
299323377959,Archaeological dig,,,
788677023307,Muddywater Bridge,,,
317461696416,Great forest,,,
458949895555,Great forest,,,
460717026135,Underground laboratory,,,
280630965085,Great forest,,,
665104084642,Secret tunnel,,,
626691460597,Marshy shore,,,
303504379957,Great forest,,,
524504567636,Road bridge,,,
761775516206,Abandoned mansion,,,
978845165648,Mansion basement,,,
234271709521,Jungle,,,
642649418249,Savanna,,,
812039020425,Savanna coast,,,
844521108189,Fort Lo-Bleu,,,
386088113625,Army bunker,,,
549697085851,Bunker FB45-68,,,
141041612699,Tin can,,,
173542934345,Ernie Village,,,
608872900457,Road to the lighthouse,,,
701345923840,Road to the lighthouse,,,
909162954508,Lighthouse infirmary,,,
293068634640,Camp of Hope,,,
613098814399,Marshes,,,
816855262914,Metro Station C,,,
798506381727,Riverbank in the jungle,,,
641120547141,Minefield,,,
425685949746,Marshes,,,
958825928490,Swamp bogs,,,
