sep=,
ID,Text,Translation,VoiceActor,Context
987654321,<style WeaponModHeader><DisplayName></style>,<style WeaponModHeader><DisplayName></style>,,jazz:Code/System_Firearm_AddProperties.lua:477
990002002,Ствольные запчасти,Ствольные запчасти,,jazz:InventoryItem/JAZZ_BarrelParts.lua
990002003,Ствольные запчасти,Ствольные запчасти,,jazz:InventoryItem/JAZZ_BarrelParts.lua
990002004,Используются для установки и ремонта стволов.,Используются для установки и ремонта стволов.,,mag-hint-aligned
990002005,Съёмный оружейный модуль,Съёмный оружейный модуль,,jazz:InventoryItem/JAZZ_RemovableAttachment.lua
990002006,Съёмные оружейные модули,Съёмные оружейные модули,,jazz:InventoryItem/JAZZ_RemovableAttachment.lua
990002007,Устанавливается на совместимое оружие в кабинете модификации.,Устанавливается на совместимое оружие в кабинете модификации.,,mag-hint-aligned
990002010,Removal failed. Weapon resource max reduced.,Снятие не удалось. Максимальный ресурс оружия снижен.,,jazz:Code/System_WeaponRemovableModify.lua
990002011,No removable attachment item in inventory.,Нет снимаемого обвеса в инвентаре.,,jazz:Code/System_WeaponRemovableModify.lua
990002012,Install failed. Weapon resource max reduced.,Установка не удалась. Максимальный ресурс оружия снижен.,,jazz:Code/System_WeaponRemovableModify.lua
990002013,Top up,Дозарядить,,jazz:items.lua ModItemCombatAction Reload | jazz:Code/System_ReloadStyle.lua
990002014,<bullet_point> <text>,<bullet_point> <text>,,jazz:Code/System_WeaponRemovableModify.lua
990002015,<style WeaponModExtraModificationsTransparent><text></style>,<style WeaponModExtraModificationsTransparent><text></style>,,jazz:items.lua WeaponModExtraModifications
990002100,Default Compensator,Стандартный компенсатор,,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:9 | jazz:items.lua:53376
990002101,Default Compensator,Стандартный компенсатор,,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:10 | jazz:items.lua:53377
990002102,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,mag-hint-aligned
990002103,Advanced Compensator,Улучшенный компенсатор,,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:9 | jazz:items.lua:53395
990002104,Advanced Compensator,Улучшенный компенсатор,,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:10 | jazz:items.lua:53396
990002105,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,mag-hint-aligned
990002106,Bipod,Сошки,,jazz:InventoryItem/JAZZ_Bipod.lua:9 | jazz:items.lua:53414
990002107,Bipod,Сошки,,jazz:InventoryItem/JAZZ_Bipod.lua:10 | jazz:items.lua:53415
990002108,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,mag-hint-aligned
990002109,Bipod,Сошки,,jazz:InventoryItem/JAZZ_Bipod_Galil.lua:9 | jazz:items.lua:53433
990002110,Bipod,Сошки,,jazz:InventoryItem/JAZZ_Bipod_Galil.lua:10 | jazz:items.lua:53434
990002111,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,Съёмный модуль. Перетащите на совместимое оружие или установите в кабинете модификации.,,mag-hint-aligned
