line,text
000,Негодяи.
001,Врагам пора помолиться!
002,Они прижали меня к стене!
003,
004,
005,
006,"О, я что-то слышал."
007,
008,Здесь творится что-то не то. Мне это не нравится.
009,
010,"Ну хватит, это уже не смешно!"
011,"Гм, а это что?"
012,Здесь что-то лежит.
013,Надо перезарядиться!
014,"Меня задело... Похоже на ранение в живот, контузию и вазэктомию одновременно."
015,
016,
017,
018,"Прошу прощения, я задумался. Можно еще раз?"
019,Ружье заклинило.
020,Они пытаются сделать из меня кашу!
021,"Ну... Это непохоже на то, что написано в путеводителе."
022,"Интересно, сколько жизней у меня еще осталось."
023,"Не думаю, что у меня получится."
024,"Блин, прошу прощения. Я все тут кровью залил."
025,"Я упаду, если сейчас же не посплю."
026,Минутку.
027,Баю-бай!
028,Первый пошел!
029,
030,
031,
032,
033,Блин... Мне что-то дурно...
034,
035,Я все сделал.
036,"Позвольте отказаться, сэр."
037,"Ну наконец-то! Приятно видеть, что работа выполнена!"
038,"Хорошо! Скажите, что я выиграл? Спортивный автомобиль? Или мне просто придется н"
039,"Не знаю, встречал ли я большего придурка."
040,Все это начинает действовать мне на нервы.
041,"Многие из этих ребят под венец не годятся, однако в драке они хороши."
042,Нас заметили с воздуха!
043,Эти вещи совершенно бесполезны. Лучше уж снежки бросать.
044,
045,
046,Я не обычный наемник.
047,"Это звучит, как предложение штабной крысы, а не опытного боевого командира."
048,"Все, кто не ожидал этого, поднимите руки."
049,
050,
051,
052,
053,
054,
055,
056,У меня глаза слезятся! Я вижу лишь смутные тени.
057,Это бесполезно.
058,Он мне нравится.
059,В этом районе обнаружены враги.
060,"Помните, мы обнаружили не всех."
061,
062,"Облако дыма, падение тела... На свете нет ничего лучше!"
063,
064,
065,"Ага! Получилось! Когда кто-нибудь оповестит их родных, мы сможем двинуть в следу"
066,"Кто бы ни спер эти вещи, этот ящик станет его гробом. Надеюсь, вы поняли, о чем"
067,"Вставай, и я снова сделаю это! Блин, ей уже хватит. Ненавижу подобные ситуации!"
068,"Кошак! Стопудово, я видел кошака!"
069,Ты лучший командир на этой стороне! Я был здесь с первого дня до самого конца. О
070,"Они, наверно, поняли, к чему идет. Они оставили это место нам."
071,Я посплю чуток. Я недолго.
072,Я вернулся.
073,И я тоже.
074,Этот хлам из уцененки поломался. Он бесполезен.
075,Держись крепче! Здесь все может накрыться.
076,"Иди прямо по пунктирной линии, чувак. Отклоняться может быть опасно."
077,Мне надо... за что-нибудь схватиться... Или я... утону...
078,Я прибыл на место. Что на повестке дня?
079,"Ну и тип. Он похож на хлыща, что приставал к моей мамочке, пока папочка не дал е"
080,Ох! Моя спина... Ну и шмякнулись.
081,"Не расстраивайся, парень, у нас еще будет шанс отыграться."
082,"Если наше падение кто-нибудь видел, они пойдут проверить. Лучше побыстрее уйти о"
083,Здесь нет выхода наружу. Придется найти способ открыть дверь внизу.
084,"Что ты думаешь, я проложу новый туннель? Пути назад нет."
085,"Ох! Здесь холоднее, чем у снегурочки за пазухой!"
086,"Эх, улететь бы сейчас домой, к мамочке!"
087,"Тоже мне, город-пряник."
088,"Миленький лесочек. Полянки подстрижены, елочки причесаны..."
089,"Счет не в нашу пользу. Похоже, кое-кто остался позади."
090,"Мы попали сюда, но у меня в ушах звенит. Наверняка как и у всех на несколько кил"
091,"Трудно поверить, но весь отряд цел."
092,"Это только я такой, или и все остальные не прочь провести весь день здесь и проч"
093,Я изо всех сил постараюсь не причинить этому парню серьезных повреждений.
094,Это будет приятно.
095,
096,
097,"Вы видели не так уж много, полковник, но я не рассчитывал завербовать всех на то"
098,
099,
100,Я всегда хотел заполучить одну из этих штук.
101,
102,"Похоже, твое путешествие окончено."
103,"Дай-ка посмотреть... Хм, похоже, на этот раз мы нашли что-то весьма интересное!"
104,"Ничего себе работенку мне подсунул Ричардс! Ну да ладно, все уже позади."
105,На такой теплый прием даже я не рассчитывал.
106,Это какое-то средневековое оружие. Точно не знаю.
107,"Эти кошаки - серьезная угроза. То есть, я имел в виду, БЫЛИ серьезной угрозой."
108,"Да, хорошие подарки тебе дарят ""друзья"", ничего не скажешь."
109,Похоже этот миляга из полиции нас попросту подставил. Уходим!
110,"Наверно, я смогу разломать эту штуку. Хотя с кусачками получилось бы гораздо тиш"
111,"Тот, кто делал эту дверь, не рассчитывал, чтобы в нее входили."
112,"Надеюсь, это открылась дверь снизу."
113,Мать моя женщина! Ну и шум!
114,Мы готовы! Они отключают вентилятор.
115,Теперь нужно поскорее выбираться отсюда.
116,"Держу пари, одна из этих кнопок открывает дверь в лифт. Вот только какая?"
117,
118,
119,
