line,text
000,Объект.
001,Пора умирать.
002,Вижу противника.
003,
004,
005,
006,Слышал шум.
007,
008,
009,
010,
011,Это нужно?
012,Там.
013,Обойму!
014,Я ранен.
015,Теперь вы все - покойники. Это сказал Саймон Грандье.
016,Всегда погибают лучшие.
017,Ричардс будет очень расстроен.
018,
019,Нужен ремонт.
020,Зацепило слегка.
021,
022,Они подошли слишком близко.
023,Сам туда стреляй.
024,Так не пойдет! Нужна перевязка.
025,Пора отдохнуть.
026,Не могу двигаться.
027,Мишень уничтожена.
028,
029,
030,
031,
032,
033,Лучше промолчу...
034,
035,Задание выполнено.
036,
037,
038,
039,Мерзкий тип.
040,Руководство за гранью идиотизма.
041,"Я привык работать в одиночку, но контракт есть контракт."
042,Ложись!
043,
044,Не люблю болтать.
045,Не люблю болтать.
046,Отлично.
047,
048,
049,
050,
051,
052,Профессионал.
053,Хм! Наконец он хоть чему-то научился.
054,
055,
056,
057,Невозможно.
058,Неплохо.
059,Мы здесь не одни.
060,Работа еще не закончена.
061,
062,Обезврежен.
063,
064,Решение глупца.
065,Здесь все.
066,
067,
068,Кошатина!
069,"Я знал, что останусь жив, но вот что меня удивляет. Как в этой мясорубке сумели"
070,Противник скрылся.
071,
072,
073,Согласен.
074,Выброси этот хлам.
075,Здесь нужен специалист.
076,Осторожно! Мины.
077,Мне... не чем... дышать...
078,Я на месте.
