line,text
000,Мишень!
001,Кто хочет пострелять?
002,"Та-ак, где моя большая пушка?"
003,
004,
005,
006,"Пф! Топают, как слоны."
007,
008,
009,
010,
011,Похоже вещичка ищет хозяина.
012,Взять или не взять?
013,"Умник, обойма пустая!"
014,Дело дрянь.
015,"Что, умник, доигрался? Знаешь, я рыдать не умею, а вот рассчитаться с ними и с Т"
016,"Не могу сказать, что мы были друзьями, но стрелок он был действительно отменный."
017,Этого парня мне будет не хватать.
018,
019,Техника просто супер.
020,Вот гадство.
021,
022,Черт.
023,"Вообще-то я взломщик, а не снайпер. Припоминаешь?"
024,"Извините что беспокою, сэ-эр, но с такой дырой много не навоюешь."
025,"Ао-х! Время видеть сны, начальник."
026,Фу-у-у... Кислородную подушку. Срочно.
027,Отдохни!
028,
029,
030,
031,
032,
033,После взрывчатки грязи куда меньше.
034,
035,С этим все.
036,
037,
038,
039,"Кажется, мы зря теряем время. Что за глупые люди!"
040,"Да-а, я всегда знала, что жить вредно, но никогда не думала, что до такой степен"
041,"Конечно, это не высшее общество, но могло быть и куда хуже."
042,Ложись!
043,
044,"Пальмы, рестораны, мотели, море, море, мотели, рестораны, пальмы... Еще пара нед"
045,"Может чем болтать, лучше подумаем, как побыстрее здесь все закончить и вернутьс"
046,Люблю учиться!
047,
048,
049,
050,
051,"Симон, мы с тобой из любой передряги выберемся, верно?"
052,Этот парень слишком много из себя корчит.
053,"Так держать, коллега!"
054,
055,
056,
057,С таким снаряжением эта задача невыполнима.
058,Всегда приятно поговорить с умным человеком.
059,Здесь что-то слишком тихо...
060,Я бы пока не торопилась расслабляться.
061,Ух ты! Классная штука! Но набор отмычек лучше.
062,"Пока, даун."
063,
064,"Не могу сказать, что сильно огорчена. Надеюсь, ты тоже без претензий."
065,Вот теперь тут чисто.
066,
067,
068,"Ки-иска, мрр!"
069,Неужели этот кошмар закончился? Я лично постарела лет на десять... Но мне кажетс
070,"Кажется, мы им не понравились."
071,
072,
073,Это было бы неплохо.
074,На какой помойке ты нашел это дерьмо?
075,"Штучка с сюрпризом. Что будем делать, начальник?"
076,Стоп! Здесь лучше не ходите.
077,Черт... я... не... подводная лодка.
078,"Что дальше, умник?"
