stem,ru_text,wav_bytes,has_audio,source_txt
000,Мишень!,10866,1,040_benni.txt
001,Кто хочет пострелять?,6770,1,040_benni.txt
002,"Та-ак, где моя большая пушка?",14962,1,040_benni.txt
003,,17266,1,040_benni.txt
004,,6770,1,040_benni.txt
005,,19058,1,040_benni.txt
006,"Пф! Топают, как слоны.",10098,1,040_benni.txt
007,,22898,1,040_benni.txt
008,,13426,1,040_benni.txt
009,,3954,1,040_benni.txt
010,,11890,1,040_benni.txt
011,Похоже вещичка ищет хозяина.,10866,1,040_benni.txt
012,Взять или не взять?,14962,1,040_benni.txt
013,"Умник, обойма пустая!",21618,1,040_benni.txt
014,Дело дрянь.,14194,1,040_benni.txt
015,"Что, умник, доигрался? Знаешь, я рыдать не умею, а вот рассчитаться с ними и с ТОБОЙ смогу. Так что лучше и меня подставь... пока возможность есть.",60786,1,040_benni.txt
016,"Не могу сказать, что мы были друзьями, но стрелок он был действительно отменный.",27506,1,040_benni.txt
017,Этого парня мне будет не хватать.,54386,1,040_benni.txt
018,,16754,1,040_benni.txt
019,Техника просто супер.,28018,1,040_benni.txt
020,Вот гадство.,17778,1,040_benni.txt
021,,47986,1,040_benni.txt
022,Черт.,37490,1,040_benni.txt
023,"Вообще-то я взломщик, а не снайпер. Припоминаешь?",65906,1,040_benni.txt
024,"Извините что беспокою, сэ-эр, но с такой дырой много не навоюешь.",32370,1,040_benni.txt
025,"Ао-х! Время видеть сны, начальник.",47474,1,040_benni.txt
026,Фу-у-у... Кислородную подушку. Срочно.,70258,1,040_benni.txt
027,Отдохни!,21874,1,040_benni.txt
028,,64114,1,040_benni.txt
029,,10610,1,040_benni.txt
030,,26482,1,040_benni.txt
031,,52850,1,040_benni.txt
032,,60018,1,040_benni.txt
033,После взрывчатки грязи куда меньше.,43378,1,040_benni.txt
034,,60274,1,040_benni.txt
035,С этим все.,29810,1,040_benni.txt
036,,8562,1,040_benni.txt
037,,5490,1,040_benni.txt
038,,7794,1,040_benni.txt
039,"Кажется, мы зря теряем время. Что за глупые люди!",20338,1,040_benni.txt
040,"Да-а, я всегда знала, что жить вредно, но никогда не думала, что до такой степени.",30834,1,040_benni.txt
041,"Конечно, это не высшее общество, но могло быть и куда хуже.",81266,1,040_benni.txt
042,Ложись!,29298,1,040_benni.txt
043,,19058,1,040_benni.txt
044,"Пальмы, рестораны, мотели, море, море, мотели, рестораны, пальмы... Еще пара недель, и я забуду как компьютер включать.",47218,1,040_benni.txt
045,"Может чем болтать, лучше подумаем, как побыстрее здесь все закончить и вернуться в цивилизованный мир?",28530,1,040_benni.txt
046,Люблю учиться!,6770,1,040_benni.txt
047,,0,0,040_benni.txt
048,,0,0,040_benni.txt
049,,0,0,040_benni.txt
050,,0,0,040_benni.txt
051,"Симон, мы с тобой из любой передряги выберемся, верно?",19570,1,040_benni.txt
052,Этот парень слишком много из себя корчит.,14450,1,040_benni.txt
053,"Так держать, коллега!",7538,1,040_benni.txt
054,,0,0,040_benni.txt
055,,0,0,040_benni.txt
056,,0,0,040_benni.txt
057,С таким снаряжением эта задача невыполнима.,16242,1,040_benni.txt
058,Всегда приятно поговорить с умным человеком.,15730,1,040_benni.txt
059,Здесь что-то слишком тихо...,13170,1,040_benni.txt
060,Я бы пока не торопилась расслабляться.,13170,1,040_benni.txt
061,Ух ты! Классная штука! Но набор отмычек лучше.,19570,1,040_benni.txt
062,"Пока, даун.",8050,1,040_benni.txt
063,,0,0,040_benni.txt
064,"Не могу сказать, что сильно огорчена. Надеюсь, ты тоже без претензий.",19314,1,040_benni.txt
065,Вот теперь тут чисто.,8050,1,040_benni.txt
066,,0,0,040_benni.txt
067,,0,0,040_benni.txt
068,"Ки-иска, мрр!",13682,1,040_benni.txt
069,"Неужели этот кошмар закончился? Я лично постарела лет на десять... Но мне кажется, сейчас не время брать отпуск. Надо как следует надрать задницу кое-кому в AIM!",56946,1,040_benni.txt
070,"Кажется, мы им не понравились.",14962,1,040_benni.txt
071,,0,0,040_benni.txt
072,,0,0,040_benni.txt
073,Это было бы неплохо.,7026,1,040_benni.txt
074,На какой помойке ты нашел это дерьмо?,10866,1,040_benni.txt
075,"Штучка с сюрпризом. Что будем делать, начальник?",18546,1,040_benni.txt
076,Стоп! Здесь лучше не ходите.,9842,1,040_benni.txt
077,Черт... я... не... подводная лодка.,11890,1,040_benni.txt
078,"Что дальше, умник?",7538,1,040_benni.txt
