stem,ru_text,wav_bytes,has_audio,source_txt
000,Ублюдки!,61726,1,168_biggens.txt
001,Ну что же... Пора покончить с формальностями.,46142,1,168_biggens.txt
002,"Похоже, у меня проблемы.",133162,1,168_biggens.txt
003,,132626,1,168_biggens.txt
004,,47366,1,168_biggens.txt
005,,198702,1,168_biggens.txt
006,Я точно это слышал! Здесь кто-то есть. Или что-то.,184158,1,168_biggens.txt
007,,28226,1,168_biggens.txt
008,"Я много лет провел в джунглях... Поэтому я знаю, когда следует ждать недоброго... Когда я предчувствую недоброе.",124818,1,168_biggens.txt
009,,80830,1,168_biggens.txt
010,,39650,1,168_biggens.txt
011,Там что-то есть.,49174,1,168_biggens.txt
012,А это тогда что?,22294,1,168_biggens.txt
013,Дайте патроны!,139870,1,168_biggens.txt
014,"Во имя мира и добра... Черт, ну и боль... И жизнь отдать не жалко ради... Ох, вот бы выпить... Ради мира на земле.",125882,1,168_biggens.txt
015,,190318,1,168_biggens.txt
016,,118182,1,168_biggens.txt
017,,149258,1,168_biggens.txt
018,"Ага, значит...",70938,1,168_biggens.txt
019,"Похоже, тут что-то не так...",158406,1,168_biggens.txt
020,"Пожалуй, надеяться не на что.",184482,1,168_biggens.txt
021,Ага... Такого больше не случится.,162782,1,168_biggens.txt
022,"Ага, значит... Сердце снова бьется.",41010,1,168_biggens.txt
023,"Невозможно. Хотя, был бы я помоложе...",83622,1,168_biggens.txt
024,"Похоже, врагу повезло. А мне потребуется медицинская помощь.",66310,1,168_biggens.txt
025,Мне нужен небольшой перерыв на сон.,55666,1,168_biggens.txt
026,Ох! Черт! Надо бы дух перевести.,91730,1,168_biggens.txt
027,Не такая уж большая потеря.,22242,1,168_biggens.txt
028,,0,0,168_biggens.txt
029,,0,0,168_biggens.txt
030,,0,0,168_biggens.txt
031,,0,0,168_biggens.txt
032,,0,0,168_biggens.txt
033,"Ага, значит... жизнь длинная, но к такому никогда не привыкнешь, правда?",92966,1,168_biggens.txt
034,"Не знаю, смогу ли я привыкнуть к такой влажности. Гораздо хуже, чем в джунглях, я бы сказал.",75146,1,168_biggens.txt
035,"Ну, значит... Я снова выполнил свои обязанности к полному удовлетворению всех сторон.",83478,1,168_biggens.txt
036,"Я бы не стал этого делать, и не стану.",34802,1,168_biggens.txt
037,,0,0,168_biggens.txt
038,,0,0,168_biggens.txt
039,Это безнадежно!,16444,1,168_biggens.txt
040,"Я начинаю сомневаться, что переход на вашу сторону был верным решением.",53726,1,168_biggens.txt
041,Незавидная участь.,16750,1,168_biggens.txt
042,"В укрытие! Боюсь, они попытаются достать нас с воздуха.",43782,1,168_biggens.txt
043,"Я предпочел бы воевать в семейных трусах и с открывашкой, а не со всем этим хламом.",80322,1,168_biggens.txt
044,"Ага, значит... Прекрасный день для битвы.",48882,1,168_biggens.txt
045,"Как человек строгих моральных принципов, я уверен, что эти женщины помнят о своем долге.",84158,1,168_biggens.txt
046,"Ага, значит... Мои заслуги оценили.",43798,1,168_biggens.txt
047,"Что, снова лезем в ловушку?",32434,1,168_biggens.txt
048,"Надеюсь, этот урок поможет обрести должную трезвость рассудка.",44602,1,168_biggens.txt
049,,0,0,168_biggens.txt
050,,0,0,168_biggens.txt
051,,0,0,168_biggens.txt
052,,0,0,168_biggens.txt
053,,0,0,168_biggens.txt
054,,0,0,168_biggens.txt
055,,0,0,168_biggens.txt
056,Хрень какая! У меня катаракта обгорела.,50886,1,168_biggens.txt
057,Это безнадежно. В самом деле.,28134,1,168_biggens.txt
058,"Ага, значит... Не все против нас.",43834,1,168_biggens.txt
059,Будьте начеку. Противник бродит поблизости.,44814,1,168_biggens.txt
060,"Я не уверен, что они все ушли на покой, так что будьте осторожны.",61830,1,168_biggens.txt
061,"Прекрасная находка, на мой взгляд.",19546,1,168_biggens.txt
062,,0,0,168_biggens.txt
063,,0,0,168_biggens.txt
064,"Правда? Надеюсь, ты все обдумал. Ну, скатертью дорожка!",51918,1,168_biggens.txt
065,"Их больше не осталось, так?",14398,1,168_biggens.txt
066,,0,0,168_biggens.txt
067,,0,0,168_biggens.txt
068,Египетский кот!,25822,1,168_biggens.txt
069,"Ага, значит... Дела улажены. Взрыв был хорош! Крайне бодрящее зрелище, я бы сказал.",93902,1,168_biggens.txt
070,"Похоже, они нашли убежище в другом месте. Наверно, почуяли, что пахнет жареным...",59846,1,168_biggens.txt
071,,0,0,168_biggens.txt
072,,0,0,168_biggens.txt
073,"Ага, значит... И меня не забудьте...",45578,1,168_biggens.txt
074,Что за ерунда?,15006,1,168_biggens.txt
075,"Отойдите-ка... Мне кажется, с этой ловушкой ничего нельзя сделать.",54362,1,168_biggens.txt
076,Земля выглядит очень подозрительно. Будьте осторожны.,48014,1,168_biggens.txt
077,,0,0,168_biggens.txt
078,"Ага, значит... Жду дальнейших указаний, а пока отдыхаю.",56162,1,168_biggens.txt
079,"Ага, значит... Похоже, эта штуковина позволит нам связаться с внешним миром. Это вселяет надежду.",91250,1,168_biggens.txt
080,,0,0,168_biggens.txt
081,,0,0,168_biggens.txt
082,,0,0,168_biggens.txt
083,"Лучше всего было бы найти способ открыть ту дверь снизу. Ага, значит... Ну, во всяком случае, я так считаю.",103350,1,168_biggens.txt
084,"Похоже, тут единственный выход. Думаю, нам стоит держаться вместе.",56682,1,168_biggens.txt
085,,0,0,168_biggens.txt
086,,0,0,168_biggens.txt
087,,0,0,168_biggens.txt
088,,0,0,168_biggens.txt
089,"Боюсь, часть отряда была принесета в жертву лопастям. Не лучший способ расстаться с жизнью. Да и их снаряжение вряд ли теперь на что-то годится.",129934,1,168_biggens.txt
090,"Ну и звук! Очень весело. Думаю, масса народу в округе могла им насладиться.",75758,1,168_biggens.txt
091,"Ага, значит, все здесь. Пора двигаться.",39250,1,168_biggens.txt
092,"Она твердо знает, что следует делать, а что нет. Ценное качество для женщины.",64302,1,168_biggens.txt
093,"Я уже видел этого человека. Наверно, в Панаме, где я участвовал в расширении канала. Трудная была работка. А рядом на якоре стоял огромный корабль и ждал, когда мы закончим.",160214,1,168_biggens.txt
094,"Трудно поверить, что вы выписывали мне чеки. Ну что же, этому уже не бывать...",82670,1,168_biggens.txt
095,"Жаль, что у нас нет времени. Хотел бы я поболтать с этим парнем о своей поездке в бухту Фробишера. Он мог знать моего гида, Джонни Моториста. Этот человек мастер был с гарпуном. Ага, значит... вот.",224310,1,168_biggens.txt
096,"Жаль, что я раньше ничего не знал об этих делах в Арулько, а то ты бы давно уже был дома, Мануэль. Может, у тебя уже был бы еще один мальчик. Я несколько месяцев сидел без дела. Очень жаль.",179794,1,168_biggens.txt
097,"Ага, значит... Я ожидал, что мой опыт может пригодиться. Я не буду даже перечислять свои заслуги в военном деле, хотя, я уверен, вы скоро сами сможете все оценить по достоинству.",175490,1,168_biggens.txt
098,"Кливленд? Это вроде бы по пути к Великим Озерам. Не имел удовольствия, Джон. Мои услуги были не особенно нужны в этой части страны. Очень жаль. А ты уверен, что ты справишься?",170822,1,168_biggens.txt
099,"А, Тихий океан... прекрасные воспоминания. Мне тогда было лишь пятнадцать... Сплошные джунгли, как я помню, и японцы за каждым кустом.",144304,1,168_biggens.txt
100,,0,0,168_biggens.txt
101,"Ага, значит... Ну, вы можете проголосовать, но я бы предложил кое-что получше. Не нужно делать глупостей. Громкий звук, клубы дыма, и мы сможем проехать там на грузовике.",181490,1,168_biggens.txt
102,"Денщик ему больше не потребуется, не правда ли? Ага, значит...",65454,1,168_biggens.txt
103,"Ага, значит... Я не хочу никого обидеть, но мне нужно взглянуть на эту записку.",85030,1,168_biggens.txt
104,"Взрыв мог был бы быть и побольше, я бы сказал! Я разочарован, но ведь нельзя ожидать от всех совершенства, не правда ли?",105998,1,168_biggens.txt
105,,0,0,168_biggens.txt
