stem,ru_text,wav_bytes,has_audio,source_txt
000,Нехороший человек!,33852,1,065_escimo.txt
001,Вижу врагов!,19516,1,065_escimo.txt
002,"Их слишком много, однако.",33852,1,065_escimo.txt
003,Блоха!,28732,1,065_escimo.txt
004,"Какой жирный блоха, однако!",38972,1,065_escimo.txt
005,Ущипни моя!,55868,1,065_escimo.txt
006,"Тс-с-с! Моя что-то слышал, однако.",47676,1,065_escimo.txt
007,"Приятный запах, однако!",38972,1,065_escimo.txt
008,"Моя это не нравится, однако.",38972,1,065_escimo.txt
009,Моя не хочет видеть эти блохи!,38972,1,065_escimo.txt
010,"Много блох! Очень много, однако.",47676,1,065_escimo.txt
011,Моя нашел!,41532,1,065_escimo.txt
012,"Моя что-то видеть, однако.",83004,1,065_escimo.txt
013,"Пуля... Нет больше пуля, однако!",67644,1,065_escimo.txt
014,Моя совсем плохая!,34876,1,065_escimo.txt
015,,31292,1,065_escimo.txt
016,,25660,1,065_escimo.txt
017,,26684,1,065_escimo.txt
018,"Моя не знает что делать, однако...",42044,1,065_escimo.txt
019,"Плохой ружье - заело, однако!",42044,1,065_escimo.txt
020,Они моя убивать!,25148,1,065_escimo.txt
021,"Моя плохо, совсем плохо, однако.",52796,1,065_escimo.txt
022,Твоя промазал! Моя нет.,36412,1,065_escimo.txt
023,"Что-то совсем темно стало, однако...",50236,1,065_escimo.txt
024,"Кровь течет, однако...",33852,1,065_escimo.txt
025,Моя спать.,93188,1,065_escimo.txt
026,"Моя дышать плохо, однако.",41020,1,065_escimo.txt
027,Твой помирай!,22588,1,065_escimo.txt
028,"Задавил блоха, однако!",33852,1,065_escimo.txt
029,,58,0,065_escimo.txt
030,,58,0,065_escimo.txt
031,,58,0,065_escimo.txt
032,,58,0,065_escimo.txt
033,"Не хочу помирать, совсем не хочу, однако.",44604,1,065_escimo.txt
034,,58,0,065_escimo.txt
035,Моя все сделать!,25148,1,065_escimo.txt
036,Нет.,11324,1,065_escimo.txt
037,Такой хороший женщина пропадай зря!,42044,1,065_escimo.txt
038,Я убил такой толстый блоха!,33852,1,065_escimo.txt
039,Плохой люди!,19516,1,065_escimo.txt
040,"Моя скучай по дому, однако.",36412,1,065_escimo.txt
041,Моя скучай по охоте.,33852,1,065_escimo.txt
042,"Самолет полетел, однако!",33852,1,065_escimo.txt
043,"Это кто покупал, однако?",36412,1,065_escimo.txt
044,,58,0,065_escimo.txt
045,,58,0,065_escimo.txt
046,Моя готова.,19516,1,065_escimo.txt
047,Хорошо.,16956,1,065_escimo.txt
048,"Что случилось, однако?",28220,1,065_escimo.txt
049,,58,0,065_escimo.txt
050,,58,0,065_escimo.txt
051,,58,0,065_escimo.txt
052,,58,0,065_escimo.txt
053,,58,0,065_escimo.txt
054,Где мои деньги?,25148,1,065_escimo.txt
055,"Моя совсем не получай деньги. Моя уходить, однако.",67132,1,065_escimo.txt
056,"Не вижу, однако.",25148,1,065_escimo.txt
057,Моя не понимай.,22588,1,065_escimo.txt
058,Хороший люди!,25148,1,065_escimo.txt
059,Злые люди близко!,28220,1,065_escimo.txt
060,Злые люди еще здесь!,30780,1,065_escimo.txt
061,,58,0,065_escimo.txt
062,Моя это нравится!,33852,1,065_escimo.txt
063,"Вон мальчишка, однако!",33852,1,065_escimo.txt
064,Моя сделает.,22588,1,065_escimo.txt
065,Злой человек умер!,28220,1,065_escimo.txt
066,"Хочу это, однако!",30780,1,065_escimo.txt
067,"Очень хорошо! Однако, теперь моя домой пойдет.",59452,1,065_escimo.txt
068,Собака!,16956,1,065_escimo.txt
069,Моя не знай что делать!,28220,1,065_escimo.txt
070,Злые люди ушли. Совсем ушли.,47676,1,065_escimo.txt
071,Моя ложись спать.,33852,1,065_escimo.txt
072,Моя работать.,22588,1,065_escimo.txt
073,Моя тоже.,19516,1,065_escimo.txt
074,"Сломалось, однако.",25148,1,065_escimo.txt
075,Здесь ловушка!,25148,1,065_escimo.txt
076,"Что это, однако?",27708,1,065_escimo.txt
077,"Моя совсем плохой... Моя помирай, однако...",62524,1,065_escimo.txt
078,"Моя приходи. Моя не знай, что дальше делать.",61500,1,065_escimo.txt
