stem,ru_text,wav_bytes,has_audio,source_txt
000,Опп-а! Вижу цель.,23154,1,047_gromov.txt
001,Начнем что ли?,12658,1,047_gromov.txt
002,"Тю-ю! В очередь, сукины дети!",14194,1,047_gromov.txt
003,,21874,1,047_gromov.txt
004,,13426,1,047_gromov.txt
005,,24434,1,047_gromov.txt
006,А ну тихо!,7026,1,047_gromov.txt
007,,33650,1,047_gromov.txt
008,,0,0,047_gromov.txt
009,,20338,1,047_gromov.txt
010,,4978,1,047_gromov.txt
011,Че-т нашел.,16754,1,047_gromov.txt
012,"Чужое. Халява. Взять-взять! Хы! Фильм ""ДМБ"" смотрел?",34674,1,047_gromov.txt
013,"И рад бы, да стрелять нечем.",21106,1,047_gromov.txt
014,Е-мое! Больно!,50290,1,047_gromov.txt
015,Ваня! Ч-черт возьми! Это был лучший боец в отряде!,50290,1,047_gromov.txt
016,Угр-робили пацана!,16754,1,047_gromov.txt
017,,21618,1,047_gromov.txt
018,,0,0,047_gromov.txt
019,В самый подходящий момент! Это хуже афганской берданки!,23154,1,047_gromov.txt
020,М-мать вашу!,10610,1,047_gromov.txt
021,,29810,1,047_gromov.txt
022,Ч-чижики!,5490,1,047_gromov.txt
023,Ты в уме?,9842,1,047_gromov.txt
024,Н-неприятно.,17010,1,047_gromov.txt
025,Четт я зеваю!,18802,1,047_gromov.txt
026,"Выключаюсь, однако!",12146,1,047_gromov.txt
027,"И звать тебя теперь ""двухсотый""!",14962,1,047_gromov.txt
028,,0,0,047_gromov.txt
029,,21106,1,047_gromov.txt
030,,0,0,047_gromov.txt
031,,0,0,047_gromov.txt
032,,0,0,047_gromov.txt
033,"М-да. Зрелище то еще. А знаешь, с вертолета этого дерьма не видно.",31858,1,047_gromov.txt
034,,19058,1,047_gromov.txt
035,Все. Сделал.,9586,1,047_gromov.txt
036,"Никак нет, товарищ генерал!",10610,1,047_gromov.txt
037,,0,0,047_gromov.txt
038,,0,0,047_gromov.txt
039,"Видал я уродов, но чтоб настолько...",13938,1,047_gromov.txt
040,Да-а! С таким командиром навоюешь пожалуй!,21874,1,047_gromov.txt
041,Время покажет. Но вродь ничего компашка.,14194,1,047_gromov.txt
042,Ложись!,0,0,047_gromov.txt
043,"Может, сначала отремонтировать это барахло?",15986,1,047_gromov.txt
044,"Ну что, Вань? Доставай наши законные ""наркомовские"". Не поверю, что у тебя нет с собой!",31858,1,047_gromov.txt
045,"Ну, до дяди ему далеко... Но паренек толковый.",25458,1,047_gromov.txt
046,Прям... расту над собой!,0,0,047_gromov.txt
047,А ты еще раз подумай!,13682,1,047_gromov.txt
048,"Стареем, что ли? Да ну, быть не может!",17010,1,047_gromov.txt
049,,0,0,047_gromov.txt
050,,0,0,047_gromov.txt
051,Силен! Уважаю!,11890,1,047_gromov.txt
052,Ну вот! А все скромничал!,11890,1,047_gromov.txt
053,"Отлично, землячок!",8818,1,047_gromov.txt
054,,0,0,047_gromov.txt
055,,0,0,047_gromov.txt
056,,0,0,047_gromov.txt
057,Ты знаешь... никак!,11890,1,047_gromov.txt
058,А хорошие люди есть не только в России!,15218,1,047_gromov.txt
059,"Пару ""шмелей"" бы сюда на зачистку... Ну да придется самим.",22386,1,047_gromov.txt
060,Этт еще не все!,12914,1,047_gromov.txt
061,"Хм! Неп-плохо, неп-плохо!",12402,1,047_gromov.txt
062,Обратно мой...,8050,1,047_gromov.txt
063,,0,0,047_gromov.txt
064,Что? Да пошел ты!,12914,1,047_gromov.txt
065,И сразу тихо так стало! Хор-рошо!,21106,1,047_gromov.txt
066,,0,0,047_gromov.txt
067,,0,0,047_gromov.txt
068,"Эх... Ну, здравствуй, Мурзик!",23154,1,047_gromov.txt
069,,26226,1,047_gromov.txt
070,Странные люди! И че этт они ушли в разгар веселья?,21618,1,047_gromov.txt
071,Меня не кантовать... При пожаре выносить первым...,30578,1,047_gromov.txt
072,"Ну вот, а теперь и повоевать можно!",15474,1,047_gromov.txt
073,Во-во дело говоришь!,11890,1,047_gromov.txt
074,Хм! Нн-е понял!,10098,1,047_gromov.txt
075,Та-ак! Ща разберемся!,15986,1,047_gromov.txt
076,Консервы. С начинкой. Не нарвись!,17522,1,047_gromov.txt
077,А вот эт-то уже хуже! Никогда не завидовал Чапаеву!,17266,1,047_gromov.txt
078,Ну че? Посадку давай!,13938,1,047_gromov.txt
