stem,ru_text,wav_bytes,has_audio,source_txt
000,Наши друзья снова здесь...,36113,1,173_henning.txt
001,За работу!,20089,1,173_henning.txt
002,Срань Господня...,28947,1,173_henning.txt
003,"Ты видишь то же, что вижу я? Опарыши!",50344,1,173_henning.txt
004,"Срань Господня! У меня аллергия на насекомых - это что, личинка?",79413,1,173_henning.txt
005,"Это были не волки. Опарыши, наверное...",49330,1,173_henning.txt
006,Шшш! Ты слышал?,28294,1,173_henning.txt
007,"Думаю, эти насекомые приканчивают врагов своим запахом.",73314,1,173_henning.txt
008,Слишком тихо. Мне это не нравится...,54370,1,173_henning.txt
009,"Думаю, опарыши где-то рядом.",41907,1,173_henning.txt
010,"Ну же! Давай! Я твой враг! Что, не веришь?..",61362,1,173_henning.txt
011,Здесь что-то есть!,28360,1,173_henning.txt
012,Что это?,14626,1,173_henning.txt
013,Кончились патроны! Нужна еще обойма!,47267,1,173_henning.txt
014,Без медика я долго не протяну...,45667,1,173_henning.txt
015,"Verdammt! Рудольф... Я никогда не думал, что они убьют ТЕБЯ.",65801,1,173_henning.txt
016,,0,0,173_henning.txt
017,"Фидель, ты же не умер! Брось притворяться! Neiiin! Он И ПРАВДА мертв!",88786,1,173_henning.txt
018,Что я хотел сделать?,32479,1,173_henning.txt
019,"Черт, оружие заклинило!",37862,1,173_henning.txt
020,Я по уши в дерьме...,36937,1,173_henning.txt
021,Это было больно...,25391,1,173_henning.txt
022,"Еще бы чуть-чуть, и все!",45114,1,173_henning.txt
023,Цель не вижу!,20532,1,173_henning.txt
024,"Я должен остановить кровотечение, и быстро.",52057,1,173_henning.txt
025,Мне очень нужно поспать.,40440,1,173_henning.txt
026,Нужно отдышаться...,51166,1,173_henning.txt
027,Для тебя все кончено...,29914,1,173_henning.txt
028,Ха! Наконец-то...,35227,1,173_henning.txt
029,"Делайте со мной что хотите, только избавьте меня от этого Тора! Чертов ""нью-эйджер""! Пусть засунет свой хрен себе в рот. Schnell!",141678,1,173_henning.txt
030,,0,0,173_henning.txt
031,"У нас здесь целых ДВА сумасшедших - Рикошет... И тот, кто его нанял!",76304,1,173_henning.txt
032,"Auf Wiedersehen, Майки!",27161,1,173_henning.txt
033,"Ох! Буду резать, буду бить... Хе-хе-хе...",52768,1,173_henning.txt
034,,0,0,173_henning.txt
035,Готово.,16559,1,173_henning.txt
036,Этого я делать не буду.,27483,1,173_henning.txt
037,Она все равно была не в моем вкусе.,41965,1,173_henning.txt
038,Jaaa! Прикончил этого жирного опарыша!,53537,1,173_henning.txt
039,"Кажется, пора менять работу. Надо устроиться куда-нибудь, где не будет идиотов...",85865,1,173_henning.txt
040,"Арулько, ха... Как интересно...",38735,1,173_henning.txt
041,Мама всегда говорила мне не водиться с такими ребятами...,56250,1,173_henning.txt
042,Воздух!,16015,1,173_henning.txt
043,"Они, кажется, думают, что нам не нужна хорошая амуниция. Мне это не нравится...",87312,1,173_henning.txt
044,Этой команде нужно многому научиться... Но они не стараются...,64644,1,173_henning.txt
045,,55886,1,173_henning.txt
046,Неплохо... Есть еще порох в пороховницах!,66419,1,173_henning.txt
047,"Может, сразу послать Дейдране факс с планом нашего нападения? Получилось бы ничуть не хуже.",96858,1,173_henning.txt
048,Некоторые люди не понимают сарказма... Да-а... Факс!,60826,1,173_henning.txt
049,"Тор - трепло. Если бы я знал, что мне придется целыми днями его  выслушивать, меня бы здесь не было!",100057,1,173_henning.txt
050,,0,0,173_henning.txt
051,"Да-а, Рудольф (""Р"" С НЕМЕЦКИМ АКЦЕНТОМ), ты КРУТ!",41354,1,173_henning.txt
052,,0,0,173_henning.txt
053,Фидель - это сокровище! Ты ВИДЕЛ?,33381,1,173_henning.txt
054,"Продлить контракт сейчас? Думаю, пока еще рано об этом говорить...",68823,1,173_henning.txt
055,Срань Господня! Майк?,38173,1,173_henning.txt
056,Что за черт... глаза... жжет... Я ослеп!,53195,1,173_henning.txt
057,Нельзя.,16408,1,173_henning.txt
058,Довольно приятные люди.,29381,1,173_henning.txt
059,Враг рядом. Будьте начеку.,37144,1,173_henning.txt
060,Враг все еще здесь - будьте осторожны.,46745,1,173_henning.txt
061,Что это?,15006,1,173_henning.txt
062,Хорошая работа...,23610,1,173_henning.txt
063,"Эй, это же Джои! За ним!",34985,1,173_henning.txt
064,"Мы пришли навести порядок в Арулько. Не сомневайтесь, мы вам поможем.",66830,1,173_henning.txt
065,Противник уничтожен - теперь мы можем спокойно осмотреться.,64087,1,173_henning.txt
066,Кто-то успел покопаться в наших вещах! Продажные ублюдки!,61867,1,173_henning.txt
067,"Она не была хорошим человеком, это точно...",44949,1,173_henning.txt
068,Большая кошка...,26060,1,173_henning.txt
069,Мы сделали хорошее и важное дело. Очень правильно организованное. Мне все понравилось. Я бы хотел поработать в такой команде еще раз.,132014,1,173_henning.txt
070,"Еще не все противники мертвы, но здесь больше никого нет. Кажется, они отступили.",94765,1,173_henning.txt
071,Я не могу сосредоточиться... Пора отдохнуть.,54350,1,173_henning.txt
072,Теперь я готов.,22008,1,173_henning.txt
073,Я присоединяюсь!,24351,1,173_henning.txt
074,Эта ШТУКА не работает.,33043,1,173_henning.txt
075,Похоже на мину-ловушку.,27027,1,173_henning.txt
076,На земле что-то подозрительное.,38319,1,173_henning.txt
077,Verdammt... Я тону...,33981,1,173_henning.txt
078,Прибыл. Жду указаний.,26088,1,173_henning.txt
079,,0,0,173_henning.txt
080,"Мне хотелось бы видеть в своем командире определенные качества. Судя по тому, что я слышал, у тебя их нет.",103212,1,173_henning.txt
081,Ты теряешь слишком много хороших людей. Мне это неинтересно.,62162,1,173_henning.txt
