stem,ru_text,wav_bytes,has_audio,source_txt
000,Неприятности.,13374,1,166_stogie.txt
001,Цели здесь.,10766,1,166_stogie.txt
002,Вот дерьмо собачье! Я по уши увяз.,39518,1,166_stogie.txt
003,,0,0,166_stogie.txt
004,,0,0,166_stogie.txt
005,,0,0,166_stogie.txt
006,Какой-то шум.,14406,1,166_stogie.txt
007,,0,0,166_stogie.txt
008,Скорее! Я чувствую недоброе.,28354,1,166_stogie.txt
009,,0,0,166_stogie.txt
010,,0,0,166_stogie.txt
011,Вот!,5606,1,166_stogie.txt
012,Это что?,7498,1,166_stogie.txt
013,У меня все! Нужны патроны.,28534,1,166_stogie.txt
014,Плохо. Кровь льет как из ведра.,32182,1,166_stogie.txt
015,"Жаль Быка, он был смелым парнем.",39350,1,166_stogie.txt
016,Биф мертв? Он был мне как родной.,44718,1,166_stogie.txt
017,Гас был славным парнем.,22062,1,166_stogie.txt
018,Ничего не понимаю.,16966,1,166_stogie.txt
019,Оружие заклинило!,15850,1,166_stogie.txt
020,Еще не все потеряно.,19414,1,166_stogie.txt
021,Пара стаканов - и я про это и не вспомню.,33382,1,166_stogie.txt
022,Мазилы!,10258,1,166_stogie.txt
023,Не выйдет. Ничего не видно.,28198,1,166_stogie.txt
024,Тут у меня царапина.,13066,1,166_stogie.txt
025,Пора залезть в спальный мешок...,22786,1,166_stogie.txt
026,Дайте... отдышаться.,26814,1,166_stogie.txt
027,Еще один клиент для капеллана.,25310,1,166_stogie.txt
028,,0,0,166_stogie.txt
029,"Не пойму, чего несет этот Тревор. Шел бы он обратно в кенгурячью задницу!",74362,1,166_stogie.txt
030,"Эта Лава - самая жуткая тварь, которую я видел. Видно, придется застрелить ее самому.",90914,1,166_stogie.txt
031,,0,0,166_stogie.txt
032,,0,0,166_stogie.txt
033,Похоже на суп... Я люблю суп.,36794,1,166_stogie.txt
034,,0,0,166_stogie.txt
035,Я закончил.,13162,1,166_stogie.txt
036,"Надеюсь, ты не настаиваешь.",23018,1,166_stogie.txt
037,,0,0,166_stogie.txt
038,,0,0,166_stogie.txt
039,Собака страшная.,18810,1,166_stogie.txt
040,"Эх, жизнь собачья!",28646,1,166_stogie.txt
041,Фигляры. Почти все они - жалкая пародия на настоящих бойцов.,68182,1,166_stogie.txt
042,Осторожно! Эти птички хотят на нас нагадить.,45266,1,166_stogie.txt
043,Большую часть этого хлама стоит утопить.,28554,1,166_stogie.txt
044,"Мне нравится, когда эти пижоны разгуливают, задрав нос, чтобы мне легче было целиться.",56054,1,166_stogie.txt
045,,0,0,166_stogie.txt
046,Это приходит с опытом.,19994,1,166_stogie.txt
047,От этого за версту разит глупостью.,26474,1,166_stogie.txt
048,Разойдитесь. Здесь не на что смотреть.,28998,1,166_stogie.txt
049,Он все время бормочет на каком-то кенгурячьем языке. Пора мне сваливать от Колби. У меня от него голова пухнет.,91034,1,166_stogie.txt
050,"Если я еще раз ее увижу, я просто сдохну. Я, пожалуй, свалю подальше от этой Лавы. Я этого больше не выдержу.",102634,1,166_stogie.txt
051,"Бык знает, что делает.",20762,1,166_stogie.txt
052,Меня от этого парня прет.,23346,1,166_stogie.txt
053,Этот парень может любого вояку за пояс заткнуть.,39494,1,166_stogie.txt
054,,0,0,166_stogie.txt
055,,0,0,166_stogie.txt
056,Глаза словно вываливаются. Такого еще не было.,53654,1,166_stogie.txt
057,"Не хочется говорить, но это бесполезно.",37450,1,166_stogie.txt
058,Это было забавно.,15802,1,166_stogie.txt
059,Сейчас тут заварится каша.,20994,1,166_stogie.txt
060,Мы не всех еще перебили. Помните об этом.,36366,1,166_stogie.txt
061,,0,0,166_stogie.txt
062,Это меня согревает.,16290,1,166_stogie.txt
063,,0,0,166_stogie.txt
064,Теперь мы оба счастливы.,16786,1,166_stogie.txt
065,Их здесь словно никогда и не было.,22998,1,166_stogie.txt
066,,0,0,166_stogie.txt
067,,0,0,166_stogie.txt
068,У нас четвероногие проблемы!,22474,1,166_stogie.txt
069,"У меня смешанные чувства насчет того, что все закончилось. Надо отдохнуть, но я не могу расслабиться, не держа палец на курке. Надеюсь, мы еще поработаем вместе.",134382,1,166_stogie.txt
070,"Видно, кто-то крикнул ""Пожар!"". Они все сбежали.",41894,1,166_stogie.txt
071,,0,0,166_stogie.txt
072,,0,0,166_stogie.txt
073,И меня посчитайте.,15102,1,166_stogie.txt
074,Это просто дерьмо собачье!,18574,1,166_stogie.txt
075,Дело нечисто. Будьте осторожны.,32794,1,166_stogie.txt
076,Здесь что-то не так.,13898,1,166_stogie.txt
077,,0,0,166_stogie.txt
078,Я простаиваю. Есть указания?,34834,1,166_stogie.txt
079,Компьютер снова заработал. Поскорей бы добраться до моих... любимых сайтов.,69934,1,166_stogie.txt
080,Ах ты собака! Что это за чертовщина?,37786,1,166_stogie.txt
081,"Скажи спасибо, что я тебя не убил.",24630,1,166_stogie.txt
082,Мы тут устроили неплохое шоу. Пора бы и сваливать отсюда.,47626,1,166_stogie.txt
083,Отсюда никуда не выйдешь. Придется найти способ открыть эту проклятую дверь снизу.,61122,1,166_stogie.txt
084,"Ага... так! Есть только один способ выбраться, и мы пойдем все вместе.",73498,1,166_stogie.txt
085,"Знал бы я, что приземлюсь в Арктике, надел бы теплое белье. Черт! Я замерз, как собака!",98286,1,166_stogie.txt
086,Есть! Вот и источник зла. Пора засадить им как следует!,58582,1,166_stogie.txt
087,Я вырос в очень похожем городе...,22706,1,166_stogie.txt
088,"Приятно снова почувствовать, что у меня в штанах еще что-то есть. Вот что значит немного солнечного света...",92394,1,166_stogie.txt
089,"Похоже, пройти удалось не всем! Увы...",35934,1,166_stogie.txt
090,"Мы наделали много шума, но мне это нравится. У них есть время подумать о том, что их ждет.",81106,1,166_stogie.txt
091,"Похоже, на сей раз мы обошлись без потерь.",24422,1,166_stogie.txt
092,"Она похожа на хозяйку магазина на углу там, где я раньше жил.",53458,1,166_stogie.txt
093,Мелкая моська громко тявкает.,28930,1,166_stogie.txt
094,"Это может оказаться интереснее, чем я думал!",28378,1,166_stogie.txt
095,"Похоже, он не врет. Я ему верю.",35950,1,166_stogie.txt
096,"Я никогда не был в Арулько, Мануэль, но постараюсь сделать все, чтобы ты туда вернулся.",61934,1,166_stogie.txt
097,"Будьте настороже, полковник. Иногда лучше держать язык за зубами.",54158,1,166_stogie.txt
098,"Мне кажется, что с тобой будет приятно иметь дело, Кульба.",36294,1,166_stogie.txt
099,"Только помни, что это не кино, ковбой!",23270,1,166_stogie.txt
100,Ух ты! Это оружие следует испытать.,40618,1,166_stogie.txt
101,"Если эта штука заработает, когда мы в нее полезем, нам хана.",48018,1,166_stogie.txt
102,Вообще-то он заслуживал более медленной смерти...,43598,1,166_stogie.txt
103,Дай-ка сюда!,9930,1,166_stogie.txt
104,Очень мило! Все-таки в теории Большого взрыва определенно что-то есть. Что ж... За этим мы и приходили!,110842,1,166_stogie.txt
105,"Похоже, мы их так и не ущипнули за задницу. Теперь вся страна знает, что мы здесь!",75338,1,166_stogie.txt
106,Гм. Ручная мортира восемнадцатого века с боеприпасами. Я уже месяц таких не видел.,90954,1,166_stogie.txt
107,"Это была последняя. Думается мне, теперь бабка месяц будет торговать ковриками...",62726,1,166_stogie.txt
108,"А я-то думал, что все в жизни повидал. Наверно, взрывчатка - не его специальность.",76770,1,166_stogie.txt
109,"Огорчает лишь то, что Рауль унес все, что у него было.",45314,1,166_stogie.txt
110,"Кусачки бы пригодились. Теперь придется хорошенько вдарить по этой штуке, чтобы все узнали, что мы идем.",85782,1,166_stogie.txt
111,"Взгляни на дверь. Похоже, нас не хотят туда пускать.",40714,1,166_stogie.txt
112,Я слышал снизу какой-то шум.,21910,1,166_stogie.txt
113,Что это за тревога? Мы что-то включили?,30262,1,166_stogie.txt
114,Это нам. Вентилятор выключен.,31478,1,166_stogie.txt
115,"Это список координат для запуска ракет. У меня есть идея. Я думаю, что смогу запустить одну из этих штук сам. Так я еще никогда не развлекался.",129634,1,166_stogie.txt
116,"Запущу ее прямо вверх и направлю назад. Я запрограммирую на пульте координаты этой точки и смоюсь на подъемнике. По-моему, это хороший план.",131486,1,166_stogie.txt
