stem,ru_text,wav_bytes,has_audio,source_txt
000,Черти!,115590,1,164_kulba.txt
001,"Шпана! Ну, пора представиться.",134399,1,164_kulba.txt
002,Помощь мне бы не помешала.,89259,1,164_kulba.txt
003,,77428,1,164_kulba.txt
004,,244740,1,164_kulba.txt
005,,188733,1,164_kulba.txt
006,Что это был за звук?,137324,1,164_kulba.txt
007,,279012,1,164_kulba.txt
008,Здесь пахнет бедой.,65017,1,164_kulba.txt
009,,53108,1,164_kulba.txt
010,,35342,1,164_kulba.txt
011,Там что-то есть.,85497,1,164_kulba.txt
012,Что это?,348394,1,164_kulba.txt
013,Мне бы еще свинца.,248697,1,164_kulba.txt
014,Ох! На этот раз мне не повезло. Мэри... Я скоро буду с тобой... Если по дороге не заблужусь...,274415,1,164_kulba.txt
015,,235127,1,164_kulba.txt
016,,190823,1,164_kulba.txt
017,"Ох, это было круто. Гас знал, что делает.",98872,1,164_kulba.txt
018,А в чем дело?,72308,1,164_kulba.txt
019,"Надо починить эту штуку, пока она кого-нибудь не убила. Точнее, меня.",389354,1,164_kulba.txt
020,"Я с ними разберусь. Я ведь участвовал в программе ""Сторож соседского дома"" - слышали про такую?",100962,1,164_kulba.txt
021,"Мэри? Мэри? Это ты, Мэри?",108485,1,164_kulba.txt
022,"Ох... Сердце стучит, как кузнечный молот...",320808,1,164_kulba.txt
023,"Это что, шутка? То есть, э-э, кто-нибудь другой туда не может пальнуть?",205870,1,164_kulba.txt
024,Мне нужен пластырь. Большой пластырь.,180792,1,164_kulba.txt
025,Я скоро отрублюсь. Меня ноги уже не держат.,71796,1,164_kulba.txt
026,Куда спешим? У нас еще есть время. Есть!,67943,1,164_kulba.txt
027,Есть!,50807,1,164_kulba.txt
028,,77556,1,164_kulba.txt
029,"Похоже, этот Иван сочувствует коммунистам. Он говорит, словно один из этих русских. Я лучше буду держаться от него подальше.",140250,1,164_kulba.txt
030,"Игорь мог притворяться одним из нас, но я русского за версту чую. Я знаю, о чем говорю. Он нас всех заложит, охнуть не успеешь.",52852,1,164_kulba.txt
031,"Рикошет - просто шпана. Я видел таких, когда свой квартал патрулировал, они машины угоняли. Не стоит водить компанию с такими типами.",48756,1,164_kulba.txt
032,"Мы с этим Рикошетом друг друга просто не выносим. Я не могу оставаться с ним. Это идет вразрез со всеми моими убеждениями. У меня бы отобрали мой замечательный ярко-оранжевый патрульный жилет, если бы узнали об этом.",62324,1,164_kulba.txt
033,Боже. Вы когда-нибудь такое видели?,19828,1,164_kulba.txt
034,"Говорю тебе, это отличная страна, только очень запущенная.",25716,1,164_kulba.txt
035,"Расписываюсь в выполнении задания, шеф. Что дальше?",13684,1,164_kulba.txt
036,НЕТ! Я всю жизнь мечтал сказать это своей жене.,22132,1,164_kulba.txt
037,,0,0,164_kulba.txt
038,,0,0,164_kulba.txt
039,"Я такого урода на литейном заводе знал. Теперь он работает дверцей на ""Кадиллаке"".",25204,1,164_kulba.txt
040,Хочу тебе сказать... Это не похоже на старые добрые Соединенные Штаты...,23156,1,164_kulba.txt
041,Просто классная компания.,12148,1,164_kulba.txt
042,Камикадзе атакуют!,7284,1,164_kulba.txt
043,"Вещи получше можно найти даже на рынке Святого Иуды в Кливленде. Сразу за отелем Коворски на Центральной улице, поворачиваешь налево... Нет, направо. Точно.",59508,1,164_kulba.txt
044,"Людям нужно доверять. Все люди добры. То есть, конечно, я уже и не помню, сколько раз меня надували, но кому это интересно? Доверяй людям, и не забывай менять обойму.",76916,1,164_kulba.txt
045,"Завязывайте курить кубинские сигары, это до добра не доведет. Мы еще поставим этого парня на колени. Это может случиться в любой момент. Увидите!",64884,1,164_kulba.txt
046,"Кто сказал, что я стар?",8820,1,164_kulba.txt
047,"Ты что, с Луны свалился?",10612,1,164_kulba.txt
048,И к чему все это было?,7028,1,164_kulba.txt
049,"Иван может брататься с нами сколько хочет, но я знаю, что творится в его русской башке. Он навлечет на всех нас беду. Впрочем, я свалю раньше, чем это случится.",73332,1,164_kulba.txt
050,"Эти русские, вроде Игоря, просто пользуются тяжелым положением этой страны, чтобы проникнуть сюда. Не успеете опомниться, здесь везде будут стоять бюсты Ленина. Я не из сочувствующих. Я сваливаю.",70516,1,164_kulba.txt
051,,0,0,164_kulba.txt
052,,0,0,164_kulba.txt
053,Только посмотри на Гаса. Вот настоящий солдат.,17268,1,164_kulba.txt
054,,0,0,164_kulba.txt
055,,0,0,164_kulba.txt
056,"Я себе все глаза обжег. Как в тот раз, когда я вылил растворитель в шашлычницу.",29300,1,164_kulba.txt
057,"Тут есть какой-то секрет, которого я не знаю?",12916,1,164_kulba.txt
058,Ничего себе арбузы!,5236,1,164_kulba.txt
059,Эти черти где-то здесь. Они всегда вертятся поблизости.,27764,1,164_kulba.txt
060,"Кто-нибудь считал? Я не уверен, что мы нашли всех.",22644,1,164_kulba.txt
061,,0,0,164_kulba.txt
062,"Джон Кульба из Кливленда, Огайо. Преддверия Ада!",30580,1,164_kulba.txt
063,,0,0,164_kulba.txt
064,"Я прошел долгий путь... Не предполагал, что ты передумаешь. Мне ведь нет смысла ехать домой сейчас, когда Мэри нет? К внукам? А ты видел моих внуков? Ну ладно тебе, будь другом... Для меня должно найтись какое-нибудь задание.",93300,1,164_kulba.txt
065,"И это все? Я думал, расправиться с ними будет значительно труднее.",0,0,164_kulba.txt
066,,0,0,164_kulba.txt
067,,0,0,164_kulba.txt
068,Вот во что превращаются милые котята!,21364,1,164_kulba.txt
069,"Может быть, найдем где-нибудь еще одну войну? По-моему, останавливаться рано. Может быть, начать войну самим? Мне же надо чем-то заниматься.",58740,1,164_kulba.txt
070,Они сбежали.,7796,1,164_kulba.txt
071,,0,0,164_kulba.txt
072,,0,0,164_kulba.txt
073,Тоже!,3188,1,164_kulba.txt
074,Кто за это отвечает?,10612,1,164_kulba.txt
