stem,ru_text,wav_bytes,has_audio,source_txt
000,Вот и они!,14516,1,174_lucky.txt
001,Вы готовы?,14647,1,174_lucky.txt
002,Их слишком много!,18867,1,174_lucky.txt
003,Один из этих жуков.,20006,1,174_lucky.txt
004,"Скажи мне, что это просто ночной кошмар! К чему снятся огромные насекомые?",68143,1,174_lucky.txt
005,У них тут был пикник.,23865,1,174_lucky.txt
006,Я что-то слышу.,20666,1,174_lucky.txt
007,Да тут воняет этими жуками!,30084,1,174_lucky.txt
008,Слишком тихо.,15836,1,174_lucky.txt
009,"Ты тоже чувствуешь, что они рядом?",29613,1,174_lucky.txt
010,Их слишком много!,18181,1,174_lucky.txt
011,"Эй, что это?",15752,1,174_lucky.txt
012,Тут что-то есть!..,17334,1,174_lucky.txt
013,Пули кончились.. Мне идти в рукопашную?,34859,1,174_lucky.txt
014,Я ранен.,22640,1,174_lucky.txt
015,,0,0,174_lucky.txt
016,,0,0,174_lucky.txt
017,"Merde, Барри. Мне жаль... Ты был парнем что надо.",50525,1,174_lucky.txt
018,"А, что, где?",25281,1,174_lucky.txt
019,Оружие вышло из строя!,23255,1,174_lucky.txt
020,Merde!,13692,1,174_lucky.txt
021,Уфф. Я сильнее!,25716,1,174_lucky.txt
022,Mon Dieu!,12940,1,174_lucky.txt
023,Ничего не выйдет,18782,1,174_lucky.txt
024,Помогите!,27089,1,174_lucky.txt
025,Я вздремну.,14864,1,174_lucky.txt
026,"Оо, воздух...",31081,1,174_lucky.txt
027,...Посмотри мне в глаза и умри...,30540,1,174_lucky.txt
028,Я убил это чудовище.,24231,1,174_lucky.txt
029,Злобный меня уже достал...,24261,1,174_lucky.txt
030,,53053,1,174_lucky.txt
031,Французский жиголо...,20388,1,174_lucky.txt
032,"Adieu, Майк.",23488,1,174_lucky.txt
033,О-ла-ла!,17729,1,174_lucky.txt
034,"Видишь ли, я слишком силен для всего этого...",43208,1,174_lucky.txt
035,Готово.,12857,1,174_lucky.txt
036,О нет. Я не согласен... на это.,36465,1,174_lucky.txt
037,У меня не было выбора...,22760,1,174_lucky.txt
038,Пока-пока...,20098,1,174_lucky.txt
039,Да тут кругом одни засранцы!,30398,1,174_lucky.txt
040,Merde...,17178,1,174_lucky.txt
041,Кругом одни дураки...,26864,1,174_lucky.txt
042,Воздушная атака!,21405,1,174_lucky.txt
043,"Наше снаряжение ужасно, ужасно!",36139,1,174_lucky.txt
044,Им еще многому следует научиться.,37077,1,174_lucky.txt
045,Вот черт...,16718,1,174_lucky.txt
046,"Я стал сильнее, правда?",28564,1,174_lucky.txt
047,Ужасная идея...,28850,1,174_lucky.txt
048,"Идея была ""vraiment miserable"", ээ... Очень плохая.",49107,1,174_lucky.txt
049,Cо Злобным я бы даже в один автобус не сел.,33892,1,174_lucky.txt
050,,93691,1,174_lucky.txt
051,,0,0,174_lucky.txt
052,,0,0,174_lucky.txt
053,"Барри, это было потрясающе!",33300,1,174_lucky.txt
054,Поговорим об этом позже.,27716,1,174_lucky.txt
055,Майк?,14054,1,174_lucky.txt
056,Я ослеп!,17975,1,174_lucky.txt
057,Это невозможно...,22096,1,174_lucky.txt
058,Очень мило.,16911,1,174_lucky.txt
059,Враги в секторе.,19218,1,174_lucky.txt
060,Внимание! Мы еще не одни.,28427,1,174_lucky.txt
061,Что это?,14984,1,174_lucky.txt
062,"Прямо как Рембо, а?",21060,1,174_lucky.txt
063,Там... Мальчик...,23148,1,174_lucky.txt
064,"Не беспокойся, мы тебе поможем... Эээ... А ты хорошо говоришь.",71036,1,174_lucky.txt
065,Они все убиты.,17944,1,174_lucky.txt
066,Чего-то не хватает.,22838,1,174_lucky.txt
067,Adieu...,15891,1,174_lucky.txt
068,Кошка-убийца!,17857,1,174_lucky.txt
069,Я бы сказал... Победа!,31558,1,174_lucky.txt
070,Где они? Они все ушли?,27143,1,174_lucky.txt
071,Я хочу спать...,18833,1,174_lucky.txt
072,Я вернулся.,17694,1,174_lucky.txt
073,Согласен.,14272,1,174_lucky.txt
074,Не работает.,16617,1,174_lucky.txt
075,"Merde, может, оно взрывается?",36420,1,174_lucky.txt
076,"Там, на земле... Осторожно!",32760,1,174_lucky.txt
077,Я тону...,31136,1,174_lucky.txt
078,"Ок, вот и я...",21790,1,174_lucky.txt
