stem,ru_text,wav_bytes,has_audio,source_txt
000,Противник в этом секторе!,22525,1,170_Monk.txt
001,Пора начинать!,16788,1,170_Monk.txt
002,У меня большие проблемы!,27958,1,170_Monk.txt
003,Одна из этих... тварей!,23680,1,170_Monk.txt
004,"Я не знал, что эти... твари... такие большие!",36434,1,170_Monk.txt
005,Здесь были наши знакомые зверушки.,30783,1,170_Monk.txt
006,Я что-то слышал.,16322,1,170_Monk.txt
007,Здесь воняет этими крабами - не люблю такую войну.,46420,1,170_Monk.txt
008,Здесь слишком тихо.,22908,1,170_Monk.txt
009,Что-то тут не так...,28828,1,170_Monk.txt
010,Фу! Лежать! Умри!,27868,1,170_Monk.txt
011,Тут что-то есть!,20883,1,170_Monk.txt
012,Интересно...,18921,1,170_Monk.txt
013,Нет патронов!,16847,1,170_Monk.txt
014,Нужен врач...,16942,1,170_Monk.txt
015,Доктор Лора! Я скорблю о вашей смерти. Вы были настоящей леди.,57931,1,170_Monk.txt
016,,0,0,170_Monk.txt
017,,0,0,170_Monk.txt
018,Где... Как... Не понял?!,38181,1,170_Monk.txt
019,Заклинило!,14649,1,170_Monk.txt
020,Они очень хотят меня убить.,32126,1,170_Monk.txt
021,Жесткий удар.,17235,1,170_Monk.txt
022,Я был на волосок от гибели.,25848,1,170_Monk.txt
023,Только с помощью телекинеза.,26979,1,170_Monk.txt
024,Я... теряю кровь.,27338,1,170_Monk.txt
025,Отсутствие сна - это непрофессионально.,41206,1,170_Monk.txt
026,Дайте отдышаться!,18034,1,170_Monk.txt
027,Кто-то должен уйти.,17650,1,170_Monk.txt
028,"Ах, какой ужас.",23366,1,170_Monk.txt
029,Этот Иван позорит всю Россию.,31048,1,170_Monk.txt
030,,0,0,170_Monk.txt
031,Этот Конрад... действует мне на нервы.,37063,1,170_Monk.txt
032,Да... Майк...,23390,1,170_Monk.txt
033,Я и раньше видел такое.,25328,1,170_Monk.txt
034,,0,0,170_Monk.txt
035,Готово.,13538,1,170_Monk.txt
036,Я профессионал... Это плохой приказ.,39360,1,170_Monk.txt
037,"Да-а-а-а, так-то лучше.",25751,1,170_Monk.txt
038,"Да, Виктор!",19297,1,170_Monk.txt
039,Непрофессионал.,18989,1,170_Monk.txt
040,Все это задание... Большая ошибка.,37098,1,170_Monk.txt
041,Никто здесь и гроша ломаного не стоит.,30953,1,170_Monk.txt
042,Воздух!,13593,1,170_Monk.txt
043,Что это такое... Дерьмо какое-то.,32833,1,170_Monk.txt
044,"Они новички, не профессионалы. Им еще учиться и учиться...",49818,1,170_Monk.txt
045,,58002,1,170_Monk.txt
046,"Да, я стал лучше.",25061,1,170_Monk.txt
047,"Надеюсь, ты это не всерьез?",27477,1,170_Monk.txt
048,Это была ошибка.,23980,1,170_Monk.txt
049,"Ты звонил Ивану? Я...  Не-е-ет, это плохо.",51204,1,170_Monk.txt
050,,0,0,170_Monk.txt
051,Доктор Лора - сильная женщина. Сильная... и симпатичная.,56845,1,170_Monk.txt
052,,0,0,170_Monk.txt
053,,0,0,170_Monk.txt
054,Я немного подожду.,21134,1,170_Monk.txt
055,Это же... Майк!,26912,1,170_Monk.txt
056,"Глаза, мои глаза!",23813,1,170_Monk.txt
057,Нет.,10434,1,170_Monk.txt
058,Хорошие здесь люди.,19895,1,170_Monk.txt
059,Противник здесь... где-то.,28744,1,170_Monk.txt
060,Мы еще не выполнили нашу миссию.,29895,1,170_Monk.txt
061,Интересно.,15748,1,170_Monk.txt
062,Какое точное оружие!,22618,1,170_Monk.txt
063,"Это тот парень, которого мы ищем?",28982,1,170_Monk.txt
064,"Это сложная миссия. Но... мы пришли сюда, и мы победим.",53650,1,170_Monk.txt
065,"Сектор чист, как свежевыпавший снег.",35165,1,170_Monk.txt
066,"Чего-то здесь не хватает... А, мафия.",45042,1,170_Monk.txt
067,Это плохая женщина.,21642,1,170_Monk.txt
068,Большая кошка.,19571,1,170_Monk.txt
069,"Мы - хорошая команда. Мы достойно сражались. Мне нравится, как мы поработали.",66062,1,170_Monk.txt
070,"Я думаю, мы остались одни.",23243,1,170_Monk.txt
071,Я должен отдохнуть.,18938,1,170_Monk.txt
072,Я опять в строю.,19859,1,170_Monk.txt
073,Это правда... Согласен.,26441,1,170_Monk.txt
074,"Рабочий материал должен быть хорошим, так? А это дерьмо!",49631,1,170_Monk.txt
075,Это выглядит... мм... подозрительно... Может взорваться.,46398,1,170_Monk.txt
076,"Стоп! Там что-то есть... Внизу, на земле.",40715,1,170_Monk.txt
077,Я не утону...,19434,1,170_Monk.txt
078,Жду приказа.,16883,1,170_Monk.txt
079,,0,0,170_Monk.txt
080,Я знаю и других командиров... Сейчас я ищу кого-нибудь подходящего... не тебя. Я сам выбираю себе босса... Понятно?,95505,1,170_Monk.txt
081,Слишком уж смертность у тебя высокая... Это неправильно.,45889,1,170_Monk.txt
082,Сегодня - традиционный русский праздник. Нет. Прости.,48934,1,170_Monk.txt
083,Мне нужно отполировать свою медаль. В следующий раз проси раньше.,50401,1,170_Monk.txt
084,Это Виктор Колесников. Оставьте сообщение на автоответчике. Я свяжусь с вами.,61823,1,170_Monk.txt
085,Мой контракт... истек. Удачи вам!,38286,1,170_Monk.txt
086,"Я слышал, вы наняли Ивана... Да чтобы я с ним работал? Нет. Ищите кого-нибудь другого...",70892,1,170_Monk.txt
087,,0,0,170_Monk.txt
088,Я не буду работать с Конрадом.,29102,1,170_Monk.txt
089,Контракт скоро заканчивается... Виктор тебе еще нужен?,47506,1,170_Monk.txt
090,Хорошо... Очень хорошо.,27087,1,170_Monk.txt
091,"Да, согласен. Я буду.",23960,1,170_Monk.txt
092,"Эта операция не очень хорошая, но если в команде доктор Лора... то Виктор тоже в команде.",73816,1,170_Monk.txt
093,,0,0,170_Monk.txt
094,,0,0,170_Monk.txt
095,Я сам выбираю себе командиров. Больше я с вами не воюю. С меня хватит.,58152,1,170_Monk.txt
096,Еще раз.,16496,1,170_Monk.txt
097,Я сражаюсь за деньги... А у тебя их недостаточно.,48589,1,170_Monk.txt
098,Это твои проблемы.,20135,1,170_Monk.txt
099,"Ты позволяешь убивать своих людей - без нужды. Я, Виктор, ухожу.",54857,1,170_Monk.txt
100,"Мой ответ на этот вопрос - нет. Потому что если я соглашусь, то Иван скоро лишится своих яиц. Я сожру их на завтрак.",94580,1,170_Monk.txt
101,,0,0,170_Monk.txt
102,"Нет, продления контракта не будет. Желаю удачи с Конрадом. Я работаю только с командиром, который умеет подобрать хорошую команду.",99919,1,170_Monk.txt
103,"Хорошо, я скажу, почему я остаюсь... Только потому, что доктор Лора с тобой.",65477,1,170_Monk.txt
104,,0,0,170_Monk.txt
105,,0,0,170_Monk.txt
106,Говорю еще раз...,21814,1,170_Monk.txt
107,Нет денег - нет контракта.,27460,1,170_Monk.txt
108,Виктор Колесников.,22811,1,170_Monk.txt
109,Я наемник от Бога.,23677,1,170_Monk.txt
110,"Чего мы ждем, а?",16988,1,170_Monk.txt
111,Надолго?,13206,1,170_Monk.txt
112,Позвони мне - когда соберешься с мыслями.,29821,1,170_Monk.txt
113,Иван и Виктор в одной команде - нехорошо... Это как дерьмо и слава.,59798,1,170_Monk.txt
114,,0,0,170_Monk.txt
115,Наш контракт скоро заканчивается...,28550,1,170_Monk.txt
116,Больше денег лучшему наемнику... Это такое... хм... правило.,60346,1,170_Monk.txt
