stem,ru_text,wav_bytes,has_audio,source_txt
000,Объект.,11378,1,062_simon.txt
001,Пора умирать.,6244,1,062_simon.txt
002,Вижу противника.,24164,1,062_simon.txt
003,,27492,1,062_simon.txt
004,,17266,1,062_simon.txt
005,,32612,1,062_simon.txt
006,Слышал шум.,20324,1,062_simon.txt
007,,24164,1,062_simon.txt
008,,18788,1,062_simon.txt
009,,11620,1,062_simon.txt
010,,9586,1,062_simon.txt
011,Это нужно?,19058,1,062_simon.txt
012,Там.,7524,1,062_simon.txt
013,Обойму!,43620,1,062_simon.txt
014,Я ранен.,18020,1,062_simon.txt
015,Теперь вы все - покойники. Это сказал Саймон Грандье.,31844,1,062_simon.txt
016,Всегда погибают лучшие.,24420,1,062_simon.txt
017,Ричардс будет очень расстроен.,61796,1,062_simon.txt
018,,11876,1,062_simon.txt
019,Нужен ремонт.,12132,1,062_simon.txt
020,Зацепило слегка.,74084,1,062_simon.txt
021,,46180,1,062_simon.txt
022,Они подошли слишком близко.,52068,1,062_simon.txt
023,Сам туда стреляй.,37732,1,062_simon.txt
024,Так не пойдет! Нужна перевязка.,42340,1,062_simon.txt
025,Пора отдохнуть.,44644,1,062_simon.txt
026,Не могу двигаться.,41060,1,062_simon.txt
027,Мишень уничтожена.,23140,1,062_simon.txt
028,,41316,1,062_simon.txt
029,,35172,1,062_simon.txt
030,,12644,1,062_simon.txt
031,,27492,1,062_simon.txt
032,,45156,1,062_simon.txt
033,Лучше промолчу...,69732,1,062_simon.txt
034,,44644,1,062_simon.txt
035,Задание выполнено.,61028,1,062_simon.txt
036,,36452,1,062_simon.txt
037,,41316,1,062_simon.txt
038,,8548,1,062_simon.txt
039,Мерзкий тип.,66660,1,062_simon.txt
040,Руководство за гранью идиотизма.,50532,1,062_simon.txt
041,"Я привык работать в одиночку, но контракт есть контракт.",22372,1,062_simon.txt
042,Ложись!,0,0,062_simon.txt
043,,0,0,062_simon.txt
044,Не люблю болтать.,8804,1,062_simon.txt
045,Не люблю болтать.,9572,1,062_simon.txt
046,Отлично.,5476,1,062_simon.txt
047,,0,0,062_simon.txt
048,,0,0,062_simon.txt
049,,0,0,062_simon.txt
050,,0,0,062_simon.txt
051,,12388,1,062_simon.txt
052,Профессионал.,7012,1,062_simon.txt
053,Хм! Наконец он хоть чему-то научился.,16740,1,062_simon.txt
054,,0,0,062_simon.txt
055,,0,0,062_simon.txt
056,,0,0,062_simon.txt
057,Невозможно.,5732,1,062_simon.txt
058,Неплохо.,6500,1,062_simon.txt
059,Мы здесь не одни.,11876,1,062_simon.txt
060,Работа еще не закончена.,12900,1,062_simon.txt
061,,0,0,062_simon.txt
062,Обезврежен.,6756,1,062_simon.txt
063,,0,0,062_simon.txt
064,Решение глупца.,9060,1,062_simon.txt
065,Здесь все.,7012,1,062_simon.txt
066,,0,0,062_simon.txt
067,,0,0,062_simon.txt
068,Кошатина!,8804,1,062_simon.txt
069,"Я знал, что останусь жив, но вот что меня удивляет. Как в этой мясорубке сумели выжить другие? Не знаю, как вы, а я беру отпуск на полгода.",62834,1,062_simon.txt
070,Противник скрылся.,8036,1,062_simon.txt
071,,0,0,062_simon.txt
072,,0,0,062_simon.txt
073,Согласен.,5988,1,062_simon.txt
074,Выброси этот хлам.,10340,1,062_simon.txt
075,Здесь нужен специалист.,12644,1,062_simon.txt
076,Осторожно! Мины.,8804,1,062_simon.txt
077,Мне... не чем... дышать...,11620,1,062_simon.txt
078,Я на месте.,7524,1,062_simon.txt
