stem,ru_text,wav_bytes,has_audio,source_txt
000,Эти уроды здесь - я их чувствую.,37858,1,177_rudolf.txt
001,Пора браться за дело.,24472,1,177_rudolf.txt
002,"Похоже, мы увязли в дерьме.",29508,1,177_rudolf.txt
003,Где-то рядом должно быть долбаное гнездо этих тварей.,60003,1,177_rudolf.txt
004,"На прошлой неделе в японской забегаловке мне показалось, что суши ползают по тарелке - и вот опять это странное чувство... Эй, вы видите то же, что и я? Это... Мутировавшее... Рыбообразное?",185086,1,177_rudolf.txt
005,"Наши гребаные рыбки-мутанты здесь были - если не хотите попасть им на зуб, разуйте глаза!",99071,1,177_rudolf.txt
006,Шшш... Вы слышите?...,30807,1,177_rudolf.txt
007,По крайней мере можно учуять их по запаху. Черви-мутанты...,68878,1,177_rudolf.txt
008,Это затишье перед бурей...,32902,1,177_rudolf.txt
009,"Я так и чувствую, как эти хреновы рыбины на нас пялятся...",57791,1,177_rudolf.txt
010,"Я вам не дамся, рыбьи морды!",38417,1,177_rudolf.txt
011,Что там?,14213,1,177_rudolf.txt
012,Там что-то лежит.,19153,1,177_rudolf.txt
013,Надо перезарядить оружие...,27584,1,177_rudolf.txt
014,Я ранен... Рана серьезная!,39580,1,177_rudolf.txt
015,"Лора, девочка! Не-е-ет... НЕТ! Только не ты.... Проклятье! Этого не может быть...",98281,1,177_rudolf.txt
016,"Ох, Хеннинг... Черт... Ты был лучшим...",51793,1,177_rudolf.txt
017,"Хорош, Хряп, ты же не можешь просто так... сдаться и бросить нас тут!",67701,1,177_rudolf.txt
018,Что я здесь делаю?,31116,1,177_rudolf.txt
019,Вот хренотень... Заклинило!,41747,1,177_rudolf.txt
020,"Кажется, они меня ненавидят... Причем сильно.",53664,1,177_rudolf.txt
021,Это было больно.,25315,1,177_rudolf.txt
022,Пронесло...,15748,1,177_rudolf.txt
023,Это смешно - стрелять отсюда?!,41197,1,177_rudolf.txt
024,"Эй, я ранен... И, похоже, серьезно - мне нужна помощь.",57462,1,177_rudolf.txt
025,Сон иногда бывает полезен.,37009,1,177_rudolf.txt
