stem,ru_text,wav_bytes,has_audio,source_txt
000,"Я чувствую, что вы здесь...",31292,1,172_scream.txt
001,У руки так и чешутся спустить курок...,40541,1,172_scream.txt
002,Эй! Полегче... не все сразу!,37182,1,172_scream.txt
003,Подойди сюда... Редкие зверушки - моя маленькая слабость.,65164,1,172_scream.txt
004,Ты это видишь? Однако... Какое животное!,52573,1,172_scream.txt
005,"Ну, по крайней мере, они настойчивы... Похоже на парк Юрского периода, а?",79350,1,172_scream.txt
006,Что это было?,21479,1,172_scream.txt
007,"Какой отвратительный запах! Эти животные воняют, как канализационный коллектор!",82231,1,172_scream.txt
008,Ты что-нибудь слышишь? И я нет. Подозрительно... Мне это не нравится.,84581,1,172_scream.txt
009,"Думаю, они здесь. Выходите, мешки с дерьмом, я вас жду.",67936,1,172_scream.txt
010,"Черт возьми, их слишком много!",34368,1,172_scream.txt
011,Там что-то лежит.,29723,1,172_scream.txt
012,Здесь что-то есть.,30674,1,172_scream.txt
013,"Ха, патроны кончились! Да кому они вообще нужны?",55909,1,172_scream.txt
014,"Черт возьми, я ранен.",33395,1,172_scream.txt
015,"Янно! Нет! Мы, эстонцы, должны держаться вместе. Ты не можешь умереть у меня на руках! Давай я куплю тебе что-нибудь вкусненькое...",138196,1,172_scream.txt
016,,0,0,172_scream.txt
017,"Для русского ты был совсем не плох, Виктор.",47428,1,172_scream.txt
018,Пора поделать упражнения для поддержания формы.,50367,1,172_scream.txt
019,"Обожаю, когда эту штуку клинит!",41459,1,172_scream.txt
020,Я убивал парней и получше тебя.,41801,1,172_scream.txt
021,Это было круто... Но я круче.,50485,1,172_scream.txt
022,Вот это да! Я почувствовал ветерок от этой пули...,62639,1,172_scream.txt
023,"Стрелять в эту цель? Ты что, серьезно?",46436,1,172_scream.txt
024,Я истекаю кровью.,33069,1,172_scream.txt
025,"Лучше я лягу поспать, прежде чем засну стоя.",55257,1,172_scream.txt
026,Дыши!,13000,1,172_scream.txt
027,Чпок! Ха...,25868,1,172_scream.txt
028,Еще один трофей в мою коллекцию.,47190,1,172_scream.txt
029,Китайцы сводят меня с ума.,34556,1,172_scream.txt
030,,0,0,172_scream.txt
031,Рысь - самое натуральное заносчивое трепло.,51192,1,172_scream.txt
032,"Что ж, Майк, Ленни успел первым.",40588,1,172_scream.txt
033,"Да, жизнь - дерьмо...",28278,1,172_scream.txt
034,Ночные операции... нельзя считать моей специализацией.,64159,1,172_scream.txt
035,Готов.,13140,1,172_scream.txt
036,Я не могу принять такой приказ.,38794,1,172_scream.txt
037,Однажды у меня была девушка... Очень была на нее похожа.,70168,1,172_scream.txt
038,"Я знал, до тебя доберусь именно я.",43600,1,172_scream.txt
039,Бывают подонки... и большие подонки.,51517,1,172_scream.txt
040,"Если бы я не послушал тебя, Янно, то сейчас отлично проводил бы время в каком-нибудь кабаке...",88308,1,172_scream.txt
041,"Я больше доверяю взводу из лагеря смертников, чем этой чертовой организации.",82004,1,172_scream.txt
042,Воздушная атака!,25481,1,172_scream.txt
043,Лажовое оборудование действует мне на нервы.,51057,1,172_scream.txt
044,Этим людям придется многому научиться. Они должны выкладываться.,73035,1,172_scream.txt
045,"Я однажды видел документальный фильм об Арулько, но теперь здесь все по-другому. Интересное место.",113923,1,172_scream.txt
046,Все лучше и лучше!,30704,1,172_scream.txt
047,"От этого будет больше вреда, чем пользы.",50876,1,172_scream.txt
048,Я так и знал.,23812,1,172_scream.txt
049,"И ты хочешь, чтобы я сотрудничал с самим мистером-восточным-мудрецом Кью?",73209,1,172_scream.txt
050,,0,0,172_scream.txt
051,"Да, узнаю Янно. Он у нас голова.",53633,1,172_scream.txt
052,,0,0,172_scream.txt
053,"Виктор, это было здорово. Ты знаешь, что я не люблю русских, но ты свой парень.",89594,1,172_scream.txt
054,"Я думаю, ты заметил, что во мне течет кровь камикадзе, а? Но пока дела идут так, как сейчас, я подожду, прежде чем продлять контракт.",138994,1,172_scream.txt
055,Нет!.. Это Майк!,28354,1,172_scream.txt
056,Я не вижу!,21903,1,172_scream.txt
057,"Нет, это я сделать не могу.",32980,1,172_scream.txt
058,"Приятное место, приятный климат - неудивительно, что жители Сибири ведут себя совсем по-другому.",103555,1,172_scream.txt
059,Это вражеский сектор. Устроим им веселье?,55118,1,172_scream.txt
060,Вечеринка еще не закончена.,33453,1,172_scream.txt
061,Что это?,22330,1,172_scream.txt
062,Хорошее оружие.,23858,1,172_scream.txt
063,А это не... Джои?,30035,1,172_scream.txt
064,Кгхм... Это большая честь для нас. (Эти латиноамериканские борцы за свободу всегда так пафосны...),112302,1,172_scream.txt
065,Этот сектор чист.,27312,1,172_scream.txt
066,Кто оформлял этот заказ? Я сожру его яйца на завтрак - здесь не хватает половины!,103067,1,172_scream.txt
067,Она напомнила мне мою бывшую подружку - как бишь там ее звали...,67522,1,172_scream.txt
068,Кошка-убийца!,21092,1,172_scream.txt
069,"Мы славно повеселились - и одержали победу! План был хорош, но исполнение - еще лучше.",102128,1,172_scream.txt
070,Куда они смылись? Испортили нам все веселье...,56895,1,172_scream.txt
071,Пора отдохнуть....,24635,1,172_scream.txt
072,Я вернулся!,27747,1,172_scream.txt
073,Я тоже так думаю!,27284,1,172_scream.txt
074,Эта штука не работает.,33027,1,172_scream.txt
075,Какая симпатичная бомба! Как радостно она тикает!,74460,1,172_scream.txt
076,Полегче... на земле что-то есть.,39174,1,172_scream.txt
077,"Черт побери, я тону!",31389,1,172_scream.txt
078,Я прибыл на место и готов к заданию.,52589,1,172_scream.txt
079,,0,0,172_scream.txt
080,"Когда командующий так некомпетентен, как ты... Мой ответ ""нет"".",74146,1,172_scream.txt
081,Ты можешь швыряться жизнями своих людей направо и налево. Но мне это совершенно не нравится.,97840,1,172_scream.txt
082,Моя девушка... нездорова. Я должен о ней позаботиться.,62109,1,172_scream.txt
083,Я не люблю оставаться в подвешенном состоянии до последней минуты. В следующий раз обращайся пораньше.,105170,1,172_scream.txt
084,"Это Леннарт Вильде. Если вам есть что предложить, говорите после сигнала.",78810,1,172_scream.txt
085,"Похоже, все уже сделано. Пора уходить.",56329,1,172_scream.txt
086,Весь день слушать символические рассуждения доктора Ку? Ну уж нет.,74949,1,172_scream.txt
087,,0,0,172_scream.txt
088,"Есть одна проблемка. Если Рысь произнесет больше двух слов, я его пристрелю. А это не способствует укреплению командного духа.",144375,1,172_scream.txt
089,Я был бы не против продлить контракт... Есть работа?,60143,1,172_scream.txt
090,Отлично. Мы договорились.,41236,1,172_scream.txt
091,"Отлично, я поспешу.",33942,1,172_scream.txt
092,"Но если Янно в команде, то нет проблем. По крайней мере, он знает, что делает...",76602,1,172_scream.txt
093,,0,0,172_scream.txt
094,"Виктор - профессионал. Если он с тобой, то я тоже согласен.",69386,1,172_scream.txt
095,"Нет, спасибо. Найми другого. Мне хватило нашей последней операции.",82046,1,172_scream.txt
096,Я повторю...,19607,1,172_scream.txt
097,Ты давно в последний раз проверял баланс своего счета?,59635,1,172_scream.txt
