effect_id,display_name,description,parameters,source,snapshot_commit
BarrelAccuracyIncrease,BarrelAccuracyIncrease,Ствол: Увеличивает точность на <BarrelAccuracyIncrease>,BarrelAccuracyIncrease=2,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelBulletDropIncrease,BarrelBulletDropIncrease,Ствол: Увеличивает настильность на <BulletDropIncrease>,BulletDropIncrease=2,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelBulletDropReduce,BarrelBulletDropReduce,Ствол: Уменьшает настильность на <BulletDropReduce>,BulletDropReduce=2,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelGroupingIncrease,BarrelGroupingIncrease,Ствол: Уменьшает кучность на 30%,SilencerGroupingReduce=110,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelGroupingReduce,BarrelGroupingReduce,Ствол: Уменьшает кучность на 10%,BarrelGroupingReduce=90,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelHandlingIncrease,BarrelHandlingIncrease,Ствол: Увеличивает эргономику на <BarrelHandlingIncrease>,BarrelHandlingIncrease=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelHandlingReduce,BarrelHandlingReduce,Ствол: Уменьшает эргономику на <BarrelHandlingReduce>,BarrelHandlingReduce=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelRangeIncrease,BarrelRangeIncrease,Ствол: Увеличивает дальность на <BarrelRangeIncrease>,BarrelRangeIncrease=2,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelRangeReduce,BarrelRangeReduce,Ствол: Уменьшает дальность на <BarrelRangeReduce>,BarrelRangeReduce=2,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelRecoilIncrease,BarrelRecoilIncrease,Ствол: Увеличивает отдачу на <BarrelRecoilIncrease>,BarrelRecoilIncrease=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BarrelRecoilRecude,BarrelRecoilRecude,Ствол: Уменьшает отдачу на <BarrelRecoilRecude>,BarrelRecoilRecude=2,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
BipodsHandlingDecrease,BipodsHandlingDecrease,Сошки: Уменьшает эргономику на <BipodsHandlingDecrease>,BipodsHandlingDecrease=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ChangeCaliberToBMG,ChangeCaliberToBMG,Changes caliber to .50 BMG,,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
Cumbersome,Cumbersome,Громоздкое,Cumbersome=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
DecreaseMaxAimActions,DecreaseMaxAimActions,Уменьшение количества уровней прицеливания на <MaxAimActionsDecrease>,MaxAimActionsDecrease=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
EnableBurst,EnableBurst,WIP — механика сигнатурного перка в разработке.,,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
EnableRunNGun,EnableRunNGun,Разблокирует <color EmStyle>Маневренный бой</color>.,,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ExtraAutoShots,ExtraAutoShots,Увеличивает размер <color EmStyle>длинной очереди</color> на 25%.,AutoShots=125,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ExtraBurstShots,ExtraBurstShots,Увеличивает размер <color EmStyle>короткой очереди</color> на 25%.,BurstShots=125,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
FirstShotIncreasedAim,FirstShotIncreasedAim,"Если ваше первое действие - атака, то оно производится, как если бы у вас был <min_aim>-й уровень прицеливания. Не действует на атаки в режиме контроля",min_aim=3,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
GLHandlingDecrease,GLHandlingDecrease,Подствольник: Уменьшает эргономику на <BipodsHandlingDecrease>,BipodsHandlingDecrease=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
GripHandlingIncrease,GripHandlingIncrease,Ствол: Увеличивает эргономику на <GripHandlingIncrease>,GripHandlingIncrease=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
IncreaseAimAccuracy15Percent,IncreaseAimAccuracy15Percent,Увеличивает эффективность прицеливания на 15%,AimAccuracyPercent=115,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
IncreaseMaxAimActions,IncreaseMaxAimActions,Увеличение количества уровней прицеливания на <IncreaseMaxAimActions>,IncreaseMaxAimActions=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
IncreaseShotAP,IncreaseShotAP,Увеличивает цену атаки в ОД на <ShotAP>.,ShotAP=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
LaserMark,LaserMark,WIP — механика сигнатурного перка в разработке.,LaserCTH=15;LaserDistance=10,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
MagazineHandlingDecrease,MagazineHandlingDecrease,Магазин: Уменьшает эргономику на <MagazineHandlingDecrease>,MagazineHandlingDecrease=10,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
MagazineHandlingIncrease,MagazineHandlingIncrease,Магазин: Увеличивает эргономику на <MagazineHandlingIncrease>,MagazineHandlingIncrease=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
MagazineSizeAdd,MagazineSizeAdd,Увеличенный размер магазина,MagazineSize=,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
MinorAccuracyBonus,MinorAccuracyBonus,Базовый шанс попасть +<bonus_cth>%,bonus_cth=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
NightsIronsBonus,NightsIronsBonus,Бонус стрельбы ночью +<NightsIronsBonus>%,,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
PointBlankBonus,PointBlankBonus,Бонус к стрельбе на дистанции до 10 клеток,PointBlankBonus=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
RecoilDecrease,RecoilDecrease,Уменьшает отдачу на <Recoil>,Recoil=,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
RecoilIncrease,RecoilIncrease,Увеличивает отдачу на <Recoil>,Recoil=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceAimAccuracy15Percent,ReduceAimAccuracy15Percent,Уменьшает эффективность прицеливания на 15%,AimAccuracyPercent=85,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceAimAccuracy20Percent,ReduceAimAccuracy20Percent,Уменьшает эффективность прицеливания на 20%,AimAccuracyPercent=80,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceAimAccuracy50Percent,ReduceAimAccuracy50Percent,Уменьшает эффективность прицеливания на 50%,AimAccuracyPercent=50,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceAimAccuracy80Percent,ReduceAimAccuracy80Percent,Уменьшает эффективность прицеливания на 80%,AimAccuracyPercent=20,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceAimAccuracy90Percent,ReduceAimAccuracy90Percent,Уменьшает эффективность прицеливания на 90%,AimAccuracyPercent=10,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
