component_id,display_name,slot,cost,modification_difficulty,effects,parameters,additional_costs,group,used_by_count,source,snapshot_commit
AdvancedHOLO,Улучшеный коллиматор,Scope,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
AK47_VerticalGrip,Vertical Grip,Handguard,50,0,RecoilDecrease,Recoil=1,FineSteelPipe=1,AK47 Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
AKSU_Hanguard_Basic,Default Handguard,Handguard,0,-25,,,,AKSU Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
AKSU_VerticalGrip,Vertical Grip,Handguard,40,20,RecoilDecrease,Recoil=1,FineSteelPipe=1,AKSU Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
AnotherOptic,Оптический прицел,Scope,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
AUGCompensator_01,Default Compensator,Muzzle,10,-25,AccuracyBonusSameTarget,,,AUG Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
AUGCompensator_03,Advanced Compensator,Muzzle,15,0,AccuracyBonusSameTarget;IncreaseReliability,ReliabilityIncrease=10,,AUG Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
AUGCompensator_1,Стандартный компенсатор,Muzzle,10,-25,AccuracyBonusSameTarget;RecoilDecrease,Recoil=3,,AUG Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
AUGCompensator_3,Улучшенный компенсатор,Muzzle,15,0,AccuracyBonusSameTarget;IncreaseReliability;RecoilDecrease,ReliabilityIncrease=10;Recoil=4,,AUG Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
AUGMount,Rail Mount,Mount,0,-25,,,,AUG Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
AUGScope_Default,Прицел AUG (1.5x),Scope,0,-25,IncreaseShotAP;ScopeMagnification;ScopeHandlingReduce;ScopeOverwatchAngleDecrease,IncreaseMaxAimActions=1;ShotAP=1;ScopeMagnification=1;ScopeSubMagnification=5;ScopeAimLevel=2;ScopeHandlingReduce=1,,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Auto5_Basic_LMag,High Cap,Barrel,15,0,MagazineSizeMultiplier,MagazineSizeMultiplier=150,FineSteelPipe=1,Auto5 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Auto5_Basic_NMag,Basic Configuration,Barrel,0,0,,,FineSteelPipe=1,Auto5 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Auto5_Long_LMag,Long Barrel High Cap,Barrel,50,0,HalfRangeDmgIncrease;MagazineSizeMultiplier;IncreaseRange,RangeIncrease=4;MagazineSizeMultiplier=150,FineSteelPipe=1,Auto5 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Auto5_Long_NMag,Long Barrel,Barrel,30,0,HalfRangeDmgIncrease;IncreaseRange,RangeIncrease=4,FineSteelPipe=1,Auto5 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Auto5_Short_NMag,Короткий ствол,Barrel,20,0,ReduceShootAP;ReduceRange;ReduceReliability;IncreaseBuckshotAngle,ShootAPDecrease=1;ReliabilityDecrease=10;BuckshotAngleIncrease=115;RangeDecrease=2,FineSteelPipe=1,Auto5 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Autofire,Автоматический огонь,Trigger,0,0,EnableFullAuto;EnableBurst,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Barrel50BMG_DesertEagle,.50 BMG Barrel,Barrel,20,-25,IncreaseDamage;ReduceReliabilityPercent;ChangeCaliberToBMG,DamageIncrease=10;ReliabilityDecreasePercent=30,FineSteelPipe=1,Desert Eagle Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelHeavy,Heavy Barrel,Barrel,30,0,IncreasedSingleShotAccuracy;BarrelHandlingReduce;BarrelRecoilRecude;BarrelBulletDropIncrease,xrng=2;dmg=3;bonus_cth=5;BarrelRecoilRecude=-3,FineSteelPipe=1,Barrel,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelLong,Extended Barrel,Barrel,75,0,BarrelRangeIncrease;BarrelBulletDropIncrease;BarrelAccuracyIncrease;BarrelHandlingReduce;BarrelRecoilRecude;BarrelGroupingIncrease,RangeIncrease=6;AimAccuracyIncrease=2;EffectiveRange=2,FineSteelPipe=3,Barrel,18,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
