id,display_name,family_id,family_name_ru,object_class,catalog_status,balance_tier,balance_subtier,tier_label,tier_status,tier_source,code_tier_label,engine_tier,caliber,damage,obj_damage_mod,penetration_class,penetration_bonus,crit_chance_scaled,magazine_size,shoot_ap,reload_ap,max_aim_actions,aim_accuracy,burst_shots,auto_shots,buckshot_projectiles,recoil,weapon_range,bullet_drop_range,grouping,overwatch_angle,noise,reliability,base_jam_chance,weapon_resource,weapon_resource_max,degrade_per_shot,hand_slot,holster_slot,large_item,cumbersome,cost,scrap_parts,repair_cost,available_attacks,component_slot_count,component_option_count,defaulted_fields,source_file,snapshot_commit,close_range,close_range_factor,weapon_mass,cyclic_rpm,weapon_size_class,burst_limiter,reload_style
MAC1950,MAC Mle 1950,pistol,Пистолеты,Pistol,active,1,1,1-1,assigned,google_sheet:Пист,1-1,,JAZZ_Caliber_9x19,16,20,1,0,35,8,3000,4000,2,8,0,0,,18,17,5,40,5400,22,40,-20,350,-1,1,OneHanded,Leg,0,0,1250,6,2,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,4,9,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;Reliability;WeaponResourceMax,InventoryItem/MAC1950.lua,working-tree,0,100,10,0,Compact,0,Magazine
Luger,Люгер,pistol,Пистолеты,Pistol,active,1,2,1-2,assigned,google_sheet:Пист,1-2,,JAZZ_Caliber_9x19,17,20,1,0,20,8,3000,4000,2,8,0,0,,18,17,6,52,5400,24,25,10,400,-1,1,OneHanded,Leg,0,0,500,6,2,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,2,2,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/Luger.lua,working-tree,0,100,10,0,Compact,0,Magazine
TT33,Пистолет ТТ,pistol,Пистолеты,Pistol,active,1,2,1-2,assigned,google_sheet:Пист,1-1,,JAZZ_Caliber_762x25,18,20,1,0,10,8,3000,4000,2,6,0,0,,18,23,8,55,5280,26,50,-10,750,-1,1,OneHanded,Leg,0,0,350,6,3,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,3,2,BurstShots;CritChanceScaled;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/TT33.lua,working-tree,0,100,10,0,Compact,0,Magazine
SWModel52,S&W Model 52 .38 Special Pistol,pistol,Пистолеты,Pistol,active,1,2,1-2,assigned,google_sheet:Пист,1-2,,JAZZ_Caliber_38,15,20,1,0,35,5,3000,4000,3,12,0,0,,15,14,5,88,5400,22,30,-20,700,-1,1,OneHanded,Leg,0,0,1250,6,7,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,4,9,BurstShots;Cumbersome;DegradePerShot;HandSlot;Handling;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/SWModel52.lua,working-tree,0,100,10,0,Compact,0,Magazine
Makarov,Пистолет Макарова,pistol,Пистолеты,Pistol,active,1,3,1-3,assigned,google_sheet:Пист,1-3,,JAZZ_Caliber_9x18,18,15,1,0,35,8,3000,4000,2,5,0,0,,14,15,6,72,5400,18,80,-100,3000,-1,1,OneHanded,Leg,0,0,450,6,5,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,3,3,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/Makarov.lua,working-tree,0,100,10,0,Compact,0,Magazine
Colt1911,Colt M1911,pistol,Пистолеты,Pistol,active,1,3,1-3,assigned,google_sheet:Пист,1-3,,JAZZ_Caliber_45ACP,27,25,1,0,30,7,3000,4000,2,7,0,0,,18,14,4,61,5400,28,65,-10,1400,-1,1,OneHanded,Leg,0,0,600,6,6,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,4,4,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/Colt1911.lua,working-tree,0,100,10,0,Compact,0,Magazine
CZ52,CZ Vz. 52,pistol,Пистолеты,Pistol,active,1,3,1-3,assigned,google_sheet:Пист,1-2,,JAZZ_Caliber_762x25,20,20,1,0,35,8,3000,4000,2,6,0,0,,18,21,8,56,5400,22,45,-20,650,-1,1,OneHanded,Leg,0,0,1250,6,1,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,4,9,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/CZ52.lua,working-tree,0,100,10,0,Compact,0,Magazine
P210,P-210,pistol,Пистолеты,Pistol,active,1,3,1-3,assigned,google_sheet:Пист,1-3,,JAZZ_Caliber_9x19,21,20,1,0,40,8,3000,3000,3,12,0,0,,18,19,6,62,5400,22,80,-50,1200,-1,1,OneHanded,Leg,0,0,1000,6,3,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,6,13,BurstShots;Cost;Cumbersome;DegradePerShot;HandSlot;Handling;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/P210.lua,working-tree,0,100,10,0,Compact,0,Magazine
P38,P38,pistol,Пистолеты,Pistol,active,1,3,1-3,assigned,google_sheet:Пист,1-3,,JAZZ_Caliber_9x19,20,20,1,0,35,8,3000,3000,2,7,0,0,,18,18,6,56,5400,18,50,-20,1000,-1,1,OneHanded,Leg,0,0,1250,6,3,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,4,7,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/P38.lua,working-tree,0,100,10,0,Compact,0,Magazine
PB,Пистолет ПБ,pistol,Пистолеты,Pistol,active,1,UNIQ,1-UNIQ,unique,google_sheet:Пист,1-UNIQ,,JAZZ_Caliber_9x18,18,15,1,0,45,8,3000,4000,4,7,0,0,,14,16,6,80,5400,2,70,-100,3000,-1,1,OneHanded,Leg,0,0,450,6,5,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,2,2,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/PB.lua,working-tree,0,100,10,0,Compact,0,Magazine
HiPower,Hi-Power,pistol,Пистолеты,Pistol,active,2,1,2-1,assigned,google_sheet:Пист,2-2,,JAZZ_Caliber_9x19,22,20,1,0,20,13,3000,4000,2,7,0,0,,18,17,6,70,5400,24,70,-10,1400,-1,1,OneHanded,Leg,0,0,500,6,9,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,4,11,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/HiPower.lua,working-tree,0,100,10,0,Compact,0,Magazine
SWModel5906,S&W Model 5906,pistol,Пистолеты,Pistol,active,2,1,2-1,assigned,google_sheet:Пист,2-1,,JAZZ_Caliber_9x19,24,20,1,0,35,16,3000,4000,2,8,0,0,,18,19,6,74,5400,22,75,-20,1000,-1,1,OneHanded,Leg,0,0,1250,6,4,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,4,9,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/SWModel5906.lua,working-tree,0,100,10,0,Compact,0,Magazine
VectorCP1,Vektor CP1,pistol,Пистолеты,Pistol,active,2,1,2-1,assigned,google_sheet:Пист,2-1,,JAZZ_Caliber_9x19,20,20,1,0,35,15,2000,3000,3,4,0,0,,18,18,6,60,5400,20,20,-20,1000,-1,1,OneHanded,Leg,0,0,1250,6,3,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,3,5,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;Noise;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/VectorCP1.lua,working-tree,0,100,10,0,Compact,0,Magazine
MP446VIKING,Викинг,pistol,Пистолеты,Pistol,active,2,2,2-2,assigned,google_sheet:Пист,2-3,,JAZZ_Caliber_9x19,25,20,1,0,30,17,3000,4000,2,8,0,0,,18,19,7,68,5400,24,60,-20,1800,-1,1,OneHanded,Leg,0,0,1600,6,5,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,5,9,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/MP446VIKING.lua,working-tree,0,100,10,0,Compact,0,Magazine
Bereta92,Beretta 92F,pistol,Пистолеты,Pistol,active,2,2,2-2,assigned,google_sheet:Пист,2-3,,JAZZ_Caliber_9x19,26,20,1,0,30,17,3000,3000,2,9,0,0,,18,19,7,70,5400,22,70,-10,1300,-1,1,OneHanded,Leg,0,0,1500,6,10,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,6,11,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/Bereta92.lua,working-tree,0,100,10,0,Compact,0,Magazine
CZ75,CZ75,pistol,Пистолеты,Pistol,active,2,2,2-2,assigned,google_sheet:Пист,2-3,,JAZZ_Caliber_9x19,24,20,1,0,35,16,3000,4000,3,12,0,0,,18,20,7,72,5400,24,75,-20,1500,-1,1,OneHanded,Leg,0,0,1250,6,7,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,3,5,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponRange;WeaponResourceMax,InventoryItem/CZ75.lua,working-tree,0,100,10,0,Compact,0,Magazine
DesertEagle,Desert Eagle,pistol,Пистолеты,Pistol,active,2,3,2-3,assigned,google_sheet:Пист,2-3,2,JAZZ_Caliber_44CAL,35,50,1,0,45,8,4000,4000,3,13,0,0,,18,24,8,74,4920,36,45,0,700,-1,1,OneHanded,Leg,0,0,10000,10,15,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,5,12,BaseJamChance;BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/DesertEagle.lua,working-tree,0,100,10,0,Compact,0,Magazine
Kimber,Kimber,pistol,Пистолеты,Pistol,active,2,4,2-4,assigned,google_sheet:Пист,2-4,,JAZZ_Caliber_45ACP,32,25,1,0,30,7,3000,3000,2,9,0,0,,18,16,6,80,5400,28,65,-10,1400,-1,1,OneHanded,Leg,0,0,600,6,6,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,6,10,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/Kimber.lua,working-tree,0,100,10,0,Compact,0,Magazine
USP45,USP45 Tactical,pistol,Пистолеты,Pistol,active,2,4,2-4,assigned,google_sheet:Пист,2-4,2,JAZZ_Caliber_45ACP,29,25,1,0,45,12,3000,4000,3,8,0,0,,18,15,5,88,5400,28,90,-20,2000,-1,1,OneHanded,Leg,0,0,2500,6,4,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,5,9,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/USP45.lua,working-tree,0,100,10,0,Compact,0,Magazine
