ID	Russian	English
116913411015	???????, ?? ? ?????? ?????? ?? ????? ???????.	I hope you'll continue to stand with us.
124799308713	??????????? ????????? ?????	Abandoned Rocky Shore
131003291514	???????? <color EmStyle>????? ??</color>: <color EmStyle>?????? ???????</color> ????????????? ? ???????	Operation <color EmStyle>"N-Night"</color>: the <color EmStyle>Junkyard Knights</color> will join the defense
131645275533	???????, ????????. ? ??????: ????? ?????? ????? ???? ???????. ? ??????????? ? ????? ? ??????.	Thanks, mercs. And keep it down?there's a whole mess of those assholes across the road. I'm heading back to our camp.
157083449193	???????, ??? ?????? ?????? ????????.	Thank you for saving our comrade.
160004139138	???????? <color EmStyle>????? ??</color>: <color EmStyle>????? ?????</color> ??????????? ?????????	Operation <color EmStyle>"N-Night"</color>: <color EmStyle>Wild Magda</color> has agreed to fight
160548808448	?????? ? ????	Cabin in the Woods
167445102934	?? ????? ???? ? ?????????? ?????-????? ? ???????? ??? ?????? ????? ? ???? ? ?????? ?????? ??????? ? ????, ??? ????? ???? ????? ?????? ???? ?????? ? ??????. ? ? ??????? ???????????.	On behalf of the Maquis, Grand Chien's resistance, I call on you to stand with us against the Legion?and against anyone who would strangle our shared ideals for power and profit. We can discuss your reward.
171480171093	????????????...	Hurry...
178668264420	??? ?????, ???????. ??? ????????? ???. ???? ? ????? ? ???? ??????; ?? ????? ?????? ???????? ??????? ? ?????????? ???????. ???????????? ?? ???? ??????. ?????? ? ???, ??? ???????, ??? ????? ???.	That's right, gentlemen. We've got a fight ahead of us. We'll handle the mines by the bridge and set up defenses at key positions. We're counting on your help. As usual, you don't really have a choice.
193876396815	??????? ?????? ???????	Legion Field Camp
194076078423	<em>??????</em> ???? ??? ?? <em>??????? ????</em>. ????? ????????? ? ??????? ?????? ? ???????? ??? ??? ? ????.	Our <em>client</em> is waiting on <em>Ernie Island</em>. We need to break through to the target sector?the contract still stands.
220944800456	??????... ?????? ???-???? ?????? ?? ??????.	So... Maleko did call for help after all.
229741643858	???????? <color EmStyle>????? ??</color>: <color EmStyle>??????? ?????</color> ??????????? ?????????	Operation <color EmStyle>"N-Night"</color>: <color EmStyle>Old Winnie</color> has agreed to fight
242442320813	??-???????	La Palisade
250419918305	????-??-?????????	Camp du Crocodile
260390996640	??????? ???????	Gloomy Village
265216542092	...??????. ??? ? ?????, ????? ??? ???????	...Take it. Who am I to stop you?
294371204656	??????????? ????????	Abandoned Airfield
299323377959	??????????????? ????????	Archaeological Dig
308781253074	??????? ?????	Port Cacao Outskirts
338665690197	?????? ?? ??????. ??????, ???? ?? ? ?????? ????? ?????. ? ???!	The doctor wasn't lying. They really do want that lighthouse. Get ready to fight!
359542499937	???????, ?????? ?? ???????. ???? ? ???? ??? ??? ???-???.	I hope you're not afraid of needles. I've got something for you.
362916261613	???????????? ??????	Rebel Bunker
368904407254	???????????? ?????????	Uncharted Area
377216132481	?????, ???? ?????? ???????? ??????? ????? ? ???????? ???? ??????-?????? ??????? ??? ?????!	Fuck, we need to get the lighthouse defenses ready?those red-and-black fuckers are already here!
380204237490	???????????? ???? ?? ??????? ????	Rebel Base on Ernie Island
406832672521	???????? <color EmStyle>????? ??</color>: <color EmStyle>??????? ?????</color> ??????????? ?????????	Operation <color EmStyle>"N-Night"</color>: <color EmStyle>Baby Wilma</color> has agreed to fight
408210932763	??, ???? ??? ????? ????????. ???????? ?? <em>?????? ??????????</em>, ??????? ?? ????? ? ????????????, ????? ???????? ??? ?? ???????. ????? ????????? ?????? ?????? ? ? ? ??? ??? ?? ????? ?? ?????.	Yeah, there was a whole gang of bunglers here. They arrived on the <em>boat "Pride"</em>, hung around the bars, and claimed they were protecting us from the Legion. Then they headed inland, and no one's seen them since.
413213220957	??????. ??????, ???????? ????? ???.	All right. See you after the fight, then.
