ID,SourceText,Russian,English,Notes
890000000003902,Янно «Знаток» Аллик,Янно «Знаток» Аллик,"Jaano ""Allik"" Allikas",design=docs/design/mercs-ja12/allik.md; unit=Jazz_Allik; field=Name; status=ready; executable=true
890000000003905,"Wildfire. Один из лучших показателей статов на уровень в игре. Marksmanship 78, Mechanical 76, Explosives 43. Неисправимый оптимист, ко всему подходит с расчётом инженера. Дружит с Вильде и Грейс; не ладит с Сидни и Доктором Кью. В некоторых файлах WF указан русским по ошибке — считается артефактом данных, национальность эстонская.","Wildfire. Один из лучших показателей статов на уровень в игре. Marksmanship 78, Mechanical 76, Explosives 43. Неисправимый оптимист, ко всему подходит с расчётом инженера. Дружит с Вильде и Грейс; не ладит с Сидни и Доктором Кью. В некоторых файлах WF указан русским по ошибке — считается артефактом данных, национальность эстонская.","Wildfire. One of the best stat-per-level ratios in the game. 78 Marksmanship, 76 Mechanical, 43 Explosives. An incurable optimist who approaches everything like an engineer. Friends with Vilde and Grace; doesn't get along with Sidney or Dr.Q. Some Wildfire files mislabel him as Russian — treated as a data artifact; his actual nationality is Estonian.",design=docs/design/mercs-ja12/allik.md; unit=Jazz_Allik; field=Bio; status=ready; executable=true
890000000002802,Бифф Апскотт,Бифф Апскотт,Biff Upscott,design=docs/design/mercs-ja12/biff.md; unit=Jazz_Biff; field=Name; status=ready; executable=true
890000000002805,"Статы около 70, Strength 41, Wisdom 58, Marksmanship 57, Leadership 13. Кабинетный менеджер MERC, панически боится настоящего боя, но неплохо ведёт бумажную работу отряда. Дружит с Фло и трезвым Ларри; не выносит обдолбанного Ларри. В JA2 Бифф появлялся только после отдельного побочного квеста — в JAZZ этот сюжет не реализован, поэтому найм идёт как обычный контракт MERC, а история квеста осталась только в биографии.","Статы около 70, Strength 41, Wisdom 58, Marksmanship 57, Leadership 13. Кабинетный менеджер MERC, панически боится настоящего боя, но неплохо ведёт бумажную работу отряда. Дружит с Фло и трезвым Ларри; не выносит обдолбанного Ларри. В JA2 Бифф появлялся только после отдельного побочного квеста — в JAZZ этот сюжет не реализован, поэтому найм идёт как обычный контракт MERC, а история квеста осталась только в биографии.","Stats around 70, 41 Strength, 58 Wisdom, 57 Marksmanship, 13 Leadership. A desk-bound MERC manager, terrified of real combat but decent at running the squad's paperwork. Friends with Flo and a clean Larry; can't stand Larry when he's using. In JA2, Biff only became available after a dedicated side quest — that quest line doesn't exist in JAZZ's current scope, so his hire is a standard MERC contract; the quest backstory survives only as Bio flavor.",design=docs/design/mercs-ja12/biff.md; unit=Jazz_Biff; field=Bio; status=ready; executable=true
890000000004699,Полковник Фредерик Биггенс,Полковник Фредерик Биггенс,Colonel Frederick Biggens,design=docs/design/mercs-ja12/biggens.md; unit=Jazz_Biggens; field=Name; status=ready; executable=true
890000000004702,"Ветеран из Urban Brawl. Статы 55–65, Marksmanship 71, Explosives 92. Оптимист, плохо переносит жару. Ставит заряды по старой школе — надёжно и аккуратно.","Ветеран из Urban Brawl. Статы 55–65, Marksmanship 71, Explosives 92. Оптимист, плохо переносит жару. Ставит заряды по старой школе — надёжно и аккуратно.","An Urban Brawl veteran. Stats in the 55-65 range, 71 Marksmanship, 92 Explosives. An optimist, doesn't handle heat well. Sets charges the old-school way — reliable and precise.",design=docs/design/mercs-ja12/biggens.md; unit=Jazz_Biggens; field=Bio; status=ready; executable=true
890000000001802,Билл «Бритва» Ламонт,Билл «Бритва» Ламонт,"Bill ""Blade"" Lamont",design=docs/design/mercs-ja12/blade.md; unit=Jazz_Blade; field=Name; status=ready; executable=true
890000000001805,"Бриллиант среди MERC. Статы 80–90, навыки около нуля — но в ноже «патроны» не кончаются. Псих, обожает резню в ближнем бою и не признаёт огнестрел серьёзным аргументом. Дружит с Фиделем и Нервным (родственные безумцы); не любит Бифа и Фло; презирает местных Арулько.","Бриллиант среди MERC. Статы 80–90, навыки около нуля — но в ноже «патроны» не кончаются. Псих, обожает резню в ближнем бою и не признаёт огнестрел серьёзным аргументом. Дружит с Фиделем и Нервным (родственные безумцы); не любит Бифа и Фло; презирает местных Арулько.","MERC's diamond in the rough. Stats in the 80s-90s across the board, skills near zero — but a knife never runs out of ""ammo."" A certified psycho who loves close-quarters butchery and doesn't rate a gun as a serious argument. Friends with Fidel and Nervous (fellow lunatics); can't stand Biff or Flo; sneers at the Arulco locals.",design=docs/design/mercs-ja12/blade.md; unit=Jazz_Blade; field=Bio; status=ready; executable=true
890000000004302,Джон «Бык» Питерс,Джон «Бык» Питерс,"John ""Bull"" Peters",design=docs/design/mercs-ja12/bull.md; unit=Jazz_Bull; field=Name; status=ready; executable=true
890000000004305,"Один из самых дешёвых наёмников AIM: Health 96, Strength 98, Agility/Dexterity ~50, Wisdom 64, Marksmanship 72. Агрессивен и бьёт первым. Дружит с Нейлсом; не любит Биффа.","Один из самых дешёвых наёмников AIM: Health 96, Strength 98, Agility/Dexterity ~50, Wisdom 64, Marksmanship 72. Агрессивен и бьёт первым. Дружит с Нейлсом; не любит Биффа.","One of the cheapest mercs on AIM's roster: 96 Health, 98 Strength, roughly 50 Agility/Dexterity, 64 Wisdom, 72 Marksmanship. Aggressive and swings first. Friends with Nails; can't stand Biff.",design=docs/design/mercs-ja12/bull.md; unit=Jazz_Bull; field=Bio; status=ready; executable=true
890000000006216,Карлос Дасуза,Карлос Дасуза,Carlos Dasouza,design=docs/design/mercs-ja12/carlos.md; unit=Jazz_Carlos; field=Name; status=ready; executable=true
890000000004622,"Dexterity 61, Marksmanship 67, Agility 91. Пессимист, местный повстанец. Уважает Мигеля, Иру и Дмитрия; терпеть не может Игги.","Dexterity 61, Marksmanship 67, Agility 91. Пессимист, местный повстанец. Уважает Мигеля, Иру и Дмитрия; терпеть не может Игги.","61 Dexterity, 67 Marksmanship, 91 Agility. A pessimistic local rebel. Respects Miguel, Ira, and Dimitri; can't stand Iggy.",design=docs/design/mercs-ja12/carlos.md; unit=Jazz_Carlos; field=Bio; status=ready; executable=true
