ID,SourceText,Russian,English,Notes,Reasons,Packages,AllIDs,Locations
990002118,Штурмовой прицел (2x),Штурмовой прицел (2x),Assault Scope (2x),manual-reviewed-google,google-draft,jazz,990002118 | 990002119 | 937267241454,jazz:InventoryItem/JAZZ_CombatScope_2x.lua:9 | jazz:items.lua:53490 | jazz:InventoryItem/JAZZ_CombatScope_2x.lua:10 | jazz:items.lua:53491 | jazz:items.lua:41943
990002121,Штурмовой прицел (3x),Штурмовой прицел (3x),Assault Scope (3x),manual-reviewed-google,google-draft,jazz,990002121 | 990002122 | 810656267860,jazz:InventoryItem/JAZZ_CombatScope_3x.lua:9 | jazz:items.lua:53509 | jazz:InventoryItem/JAZZ_CombatScope_3x.lua:10 | jazz:items.lua:53510 | jazz:items.lua:42213
990002127,Штурмовой прицел Fero Z24 (4х),Штурмовой прицел Fero Z24 (4х),Assault sight Fero Z24 (4x),manual-reviewed-google,google-draft,jazz,990002127 | 990002128 | 570150285061,jazz:InventoryItem/JAZZ_CombatScope_FeroZ24.lua:9 | jazz:items.lua:53547 | jazz:InventoryItem/JAZZ_CombatScope_FeroZ24.lua:10 | jazz:items.lua:53548 | jazz:items.lua:42406
990002166,Прицел G36 1.5x,Прицел G36 1.5x,G36 1.5x scope,manual-reviewed-google,google-draft,jazz,990002166 | 990002167 | 458046741551,jazz:InventoryItem/JAZZ_G36Sight.lua:9 | jazz:items.lua:53794 | jazz:InventoryItem/JAZZ_G36Sight.lua:10 | jazz:items.lua:53795 | jazz:items.lua:42797
990002193,Масляной фильтр,Масляной фильтр,Oil filter,manual-reviewed-google,google-draft,jazz,990002193 | 990002194 | 829507516509,jazz:InventoryItem/JAZZ_ImprovisedSuppressor.lua:9 | jazz:items.lua:53965 | jazz:InventoryItem/JAZZ_ImprovisedSuppressor.lua:10 | jazz:items.lua:53966 | jazz:items.lua:39239
990002214,Короб,Короб,Box,manual-reviewed-google,google-draft,jazz,990002214 | 990002215 | 325946124810,jazz:InventoryItem/JAZZ_MagBelt_40_100.lua:9 | jazz:items.lua:54098 | jazz:InventoryItem/JAZZ_MagBelt_40_100.lua:10 | jazz:items.lua:54099 | jazz:items.lua:53033
990002235,Магазин на 20 патрон,Магазин на 20 патрон,20 round magazine,manual-reviewed-google,google-draft,jazz,990002235 | 990002236 | 990002244 | 990002245 | 990002289 | 990002290 | 990002301 | 990002302 | 990002532 | 990002533 | 990002535 | 990002536 | 389079656552 | 816005080243 | 870471539633 | 927657862290,jazz:InventoryItem/JAZZ_MagLarge_10_20.lua:9 | jazz:items.lua:54231 | jazz:InventoryItem/JAZZ_MagLarge_10_20.lua:10 | jazz:items.lua:54232 | jazz:InventoryItem/JAZZ_MagLarge_18_20.lua:9 | jazz:items.lua:54288 | jazz:InventoryItem/JAZZ_MagLarge_18_20.lua:10 | jazz:items.lua:54289 | jazz:InventoryItem/JAZZ_MagNormalG18.lua:9 | jazz:items.lua:54573 | jazz:InventoryItem/JAZZ_MagNormalG18.lua:10 | jazz:items.lua:54574 | jazz:InventoryItem/JAZZ_MagSmall30_20.lua:9 | jazz:items.lua:54649 | jazz:InventoryItem/JAZZ_MagSmall30_20.lua:10 | jazz:items.lua:54650 | jazz:InventoryItem/JAZZ_MagLarge_10_20_SVD.lua:9 | jazz:items.lua:55506 | jazz:InventoryItem/JAZZ_MagLarge_10_20_SVD.lua:10 | jazz:items.lua:55507 | jazz:InventoryItem/JAZZ_MagLarge_10_20_VAL.lua:9 | jazz:items.lua:55526 | jazz:InventoryItem/JAZZ_MagLarge_10_20_VAL.lua:10 | jazz:items.lua:55527 | jazz:items.lua:49659 | jazz:items.lua:49693 | jazz:items.lua:52222 | jazz:items.lua:46757 | jazz:items.lua:52016 | jazz:items.lua:47574
990002253,Магазин на 40 патрон,Магазин на 40 патрон,40 round magazine,manual-reviewed-google,google-draft,jazz,990002253 | 990002254 | 990002262 | 990002263 | 431607576909 | 544080364524,jazz:InventoryItem/JAZZ_MagLarge_25_40.lua:9 | jazz:items.lua:54345 | jazz:InventoryItem/JAZZ_MagLarge_25_40.lua:10 | jazz:items.lua:54346 | jazz:InventoryItem/JAZZ_MagLarge_30_40.lua:9 | jazz:items.lua:54402 | jazz:InventoryItem/JAZZ_MagLarge_30_40.lua:10 | jazz:items.lua:54403 | jazz:items.lua:52052 | jazz:items.lua:52343
990002265,Магазин на 42 патрона,Магазин на 42 патрона,42 round magazine,manual-reviewed-google,google-draft,jazz,990002265 | 990002266 | 997099133073,jazz:InventoryItem/JAZZ_MagLarge_30_42.lua:9 | jazz:items.lua:54421 | jazz:InventoryItem/JAZZ_MagLarge_30_42.lua:10 | jazz:items.lua:54422 | jazz:items.lua:52186
990002274,Магазин на 10 патрон,Магазин на 10 патрон,10 round magazine,manual-reviewed-google,google-draft,jazz,990002274 | 990002275 | 990002277 | 990002278 | 990002283 | 990002284 | 990002295 | 990002296 | 990002619 | 990002620 | 990002622 | 990002623 | 513947495758 | 619101874498 | 853495886060,jazz:InventoryItem/JAZZ_MagLarge_5_10.lua:9 | jazz:items.lua:54478 | jazz:InventoryItem/JAZZ_MagLarge_5_10.lua:10 | jazz:items.lua:54479 | jazz:InventoryItem/JAZZ_MagLarge_7_10.lua:9 | jazz:items.lua:54497 | jazz:InventoryItem/JAZZ_MagLarge_7_10.lua:10 | jazz:items.lua:54498 | jazz:InventoryItem/JAZZ_MagLarge_8_10.lua:9 | jazz:items.lua:54535 | jazz:InventoryItem/JAZZ_MagLarge_8_10.lua:10 | jazz:items.lua:54536 | jazz:InventoryItem/JAZZ_MagSmall20_10.lua:9 | jazz:items.lua:54611 | jazz:InventoryItem/JAZZ_MagSmall20_10.lua:10 | jazz:items.lua:54612 | jazz:InventoryItem/JAZZ_MagSmall20_10_G3.lua:9 | jazz:items.lua:56066 | jazz:InventoryItem/JAZZ_MagSmall20_10_G3.lua:10 | jazz:items.lua:56067 | jazz:InventoryItem/JAZZ_MagSmall20_10_M14.lua:9 | jazz:items.lua:56086 | jazz:InventoryItem/JAZZ_MagSmall20_10_M14.lua:10 | jazz:items.lua:56087 | jazz:items.lua:51944 | jazz:items.lua:51980 | jazz:items.lua:47779 | jazz:items.lua:51024 | jazz:items.lua:51084 | jazz:items.lua:51909
