ID,SourceText,Russian,English,Notes,Reasons,Packages,AllIDs,Locations
990002100,Default Compensator,Стандартный компенсатор,Default Compensator,manual-reviewed-human,needs-russian,jazz,990002100 | 990002101,jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:9 | jazz:items.lua:53376 | jazz:InventoryItem/JAZZ_AUGCompensator_01.lua:10 | jazz:items.lua:53377
990002103,Advanced Compensator,Улучшенный компенсатор,Advanced Compensator,manual-reviewed-human,needs-russian,jazz,990002103 | 990002104,jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:9 | jazz:items.lua:53395 | jazz:InventoryItem/JAZZ_AUGCompensator_03.lua:10 | jazz:items.lua:53396
990002106,Bipod,Сошки,Bipod,manual-reviewed-human,needs-russian,jazz,990002106 | 990002107 | 990002109 | 990002110 | 990002112 | 990002113,jazz:InventoryItem/JAZZ_Bipod.lua:9 | jazz:items.lua:53414 | jazz:InventoryItem/JAZZ_Bipod.lua:10 | jazz:items.lua:53415 | jazz:InventoryItem/JAZZ_Bipod_Galil.lua:9 | jazz:items.lua:53433 | jazz:InventoryItem/JAZZ_Bipod_Galil.lua:10 | jazz:items.lua:53434 | jazz:InventoryItem/JAZZ_Bipod_Under.lua:9 | jazz:items.lua:53452 | jazz:InventoryItem/JAZZ_Bipod_Under.lua:10 | jazz:items.lua:53453
990002130,Compensator,Компенсатор,Compensator,manual-reviewed-human,needs-russian,jazz,990002130 | 990002131,jazz:InventoryItem/JAZZ_Compensator.lua:9 | jazz:items.lua:53566 | jazz:InventoryItem/JAZZ_Compensator.lua:10 | jazz:items.lua:53567
990002133,Duckbill Choke,Чок «утиный клюв»,Duckbill Choke,manual-reviewed-human,needs-russian,jazz,990002133 | 990002134,jazz:InventoryItem/JAZZ_DuckbillChoke.lua:9 | jazz:items.lua:53585 | jazz:InventoryItem/JAZZ_DuckbillChoke.lua:10 | jazz:items.lua:53586
990002139,Flashlight,Фонарик,Flashlight,manual-reviewed-human,needs-russian,jazz,990002139 | 990002140 | 990002154 | 990002155 | 990002157 | 990002158,jazz:InventoryItem/JAZZ_Flashlight.lua:9 | jazz:items.lua:53623 | jazz:InventoryItem/JAZZ_Flashlight.lua:10 | jazz:items.lua:53624 | jazz:InventoryItem/JAZZ_Flashlight_PSG_M1.lua:9 | jazz:items.lua:53718 | jazz:InventoryItem/JAZZ_Flashlight_PSG_M1.lua:10 | jazz:items.lua:53719 | jazz:InventoryItem/JAZZ_Flashlight_aa12.lua:9 | jazz:items.lua:53737 | jazz:InventoryItem/JAZZ_Flashlight_aa12.lua:10 | jazz:items.lua:53738
990002142,Tactical Device,Тактический модуль,Tactical Device,manual-reviewed-human,needs-russian,jazz,990002142 | 990002143 | 990002145 | 990002146 | 990002148 | 990002149 | 990002151 | 990002152,jazz:InventoryItem/JAZZ_FlashlightDot.lua:9 | jazz:items.lua:53642 | jazz:InventoryItem/JAZZ_FlashlightDot.lua:10 | jazz:items.lua:53643 | jazz:InventoryItem/JAZZ_FlashlightDot_Anaconda.lua:9 | jazz:items.lua:53661 | jazz:InventoryItem/JAZZ_FlashlightDot_Anaconda.lua:10 | jazz:items.lua:53662 | jazz:InventoryItem/JAZZ_FlashlightDot_PSG_M1.lua:9 | jazz:items.lua:53680 | jazz:InventoryItem/JAZZ_FlashlightDot_PSG_M1.lua:10 | jazz:items.lua:53681 | jazz:InventoryItem/JAZZ_FlashlightDot_aa12.lua:9 | jazz:items.lua:53699 | jazz:InventoryItem/JAZZ_FlashlightDot_aa12.lua:10 | jazz:items.lua:53700
990002160,Full Choke,Полный чок,Full Choke,manual-reviewed-human,needs-russian,jazz,990002160 | 990002161,jazz:InventoryItem/JAZZ_FullChoke.lua:9 | jazz:items.lua:53756 | jazz:InventoryItem/JAZZ_FullChoke.lua:10 | jazz:items.lua:53757
990002172,Default Muzzle Brake,Стандартный дульный тормоз,Default Muzzle Brake,manual-reviewed-human,needs-russian,jazz,990002172 | 990002173,jazz:InventoryItem/JAZZ_Galil_Brake_Default.lua:9 | jazz:items.lua:53832 | jazz:InventoryItem/JAZZ_Galil_Brake_Default.lua:10 | jazz:items.lua:53833
990002175,Grenade Launcher,Подствольный гранатомёт,Grenade Launcher,manual-reviewed-human,needs-russian,jazz,990002175 | 990002176 | 990002178 | 990002179 | 990002181 | 990002182 | 990002184 | 990002185 | 990002187 | 990002188,jazz:InventoryItem/JAZZ_GrenadeLauncher.lua:9 | jazz:items.lua:53851 | jazz:InventoryItem/JAZZ_GrenadeLauncher.lua:10 | jazz:items.lua:53852 | jazz:InventoryItem/JAZZ_GrenadeLauncher_AUG.lua:9 | jazz:items.lua:53870 | jazz:InventoryItem/JAZZ_GrenadeLauncher_AUG.lua:10 | jazz:items.lua:53871 | jazz:InventoryItem/JAZZ_GrenadeLauncher_Commando.lua:9 | jazz:items.lua:53889 | jazz:InventoryItem/JAZZ_GrenadeLauncher_Commando.lua:10 | jazz:items.lua:53890 | jazz:InventoryItem/JAZZ_GrenadeLauncher_Galil.lua:9 | jazz:items.lua:53908 | jazz:InventoryItem/JAZZ_GrenadeLauncher_Galil.lua:10 | jazz:items.lua:53909 | jazz:InventoryItem/JAZZ_GrenadeLauncher_M14.lua:9 | jazz:items.lua:53927 | jazz:InventoryItem/JAZZ_GrenadeLauncher_M14.lua:10 | jazz:items.lua:53928
990002199,Red Dot,Лазерный целеуказатель,Red Dot,manual-reviewed-human,needs-russian,jazz,990002199 | 990002200 | 990002202 | 990002203 | 990002205 | 990002206,jazz:InventoryItem/JAZZ_LaserDot_Anaconda.lua:9 | jazz:items.lua:54003 | jazz:InventoryItem/JAZZ_LaserDot_Anaconda.lua:10 | jazz:items.lua:54004 | jazz:InventoryItem/JAZZ_LaserDot_PSG_M1.lua:9 | jazz:items.lua:54022 | jazz:InventoryItem/JAZZ_LaserDot_PSG_M1.lua:10 | jazz:items.lua:54023 | jazz:InventoryItem/JAZZ_LaserDot_aa12.lua:9 | jazz:items.lua:54041 | jazz:InventoryItem/JAZZ_LaserDot_aa12.lua:10 | jazz:items.lua:54042
990002232,Ergonomic Expanded Mag,Эргономичный увеличенный магазин,Ergonomic Expanded Mag,manual-reviewed-human,needs-russian,jazz,990002232 | 990002233,jazz:InventoryItem/JAZZ_MagLargeFine.lua:9 | jazz:items.lua:54212 | jazz:InventoryItem/JAZZ_MagLargeFine.lua:10 | jazz:items.lua:54213
990002286,Fine-Tuned Mag,Доработанный магазин,Fine-Tuned Mag,manual-reviewed-human,needs-russian,jazz,990002286 | 990002287,jazz:InventoryItem/JAZZ_MagNormalFine.lua:9 | jazz:items.lua:54554 | jazz:InventoryItem/JAZZ_MagNormalFine.lua:10 | jazz:items.lua:54555
990002292,Quick Mag,Быстросъёмный магазин,Quick Mag,manual-reviewed-human,needs-russian,jazz,990002292 | 990002293,jazz:InventoryItem/JAZZ_MagQuick.lua:9 | jazz:items.lua:54592 | jazz:InventoryItem/JAZZ_MagQuick.lua:10 | jazz:items.lua:54593
990002382,Suppressor,Глушитель,Suppressor,manual-reviewed-human,needs-russian,jazz,990002382 | 990002383,jazz:InventoryItem/JAZZ_Suppressor.lua:9 | jazz:items.lua:55162 | jazz:InventoryItem/JAZZ_Suppressor.lua:10 | jazz:items.lua:55163
990002391,Tactical Grip,Тактическая рукоятка,Tactical Grip,manual-reviewed-human,needs-russian,jazz,990002391 | 990002392 | 990002394 | 990002395,jazz:InventoryItem/JAZZ_TacGrip.lua:9 | jazz:items.lua:55216 | jazz:InventoryItem/JAZZ_TacGrip.lua:10 | jazz:items.lua:55217 | jazz:InventoryItem/JAZZ_TacGrip_M14.lua:9 | jazz:items.lua:55235 | jazz:InventoryItem/JAZZ_TacGrip_M14.lua:10 | jazz:items.lua:55236
990002403,UV Dot,УФ-целеуказатель,UV Dot,manual-reviewed-human,needs-russian,jazz,990002403 | 990002404 | 990002406 | 990002407 | 990002409 | 990002410 | 990002412 | 990002413,jazz:InventoryItem/JAZZ_UVDot.lua:9 | jazz:items.lua:55292 | jazz:InventoryItem/JAZZ_UVDot.lua:10 | jazz:items.lua:55293 | jazz:InventoryItem/JAZZ_UVDot_Anaconda.lua:9 | jazz:items.lua:55311 | jazz:InventoryItem/JAZZ_UVDot_Anaconda.lua:10 | jazz:items.lua:55312 | jazz:InventoryItem/JAZZ_UVDot_PSG_M1.lua:9 | jazz:items.lua:55330 | jazz:InventoryItem/JAZZ_UVDot_PSG_M1.lua:10 | jazz:items.lua:55331 | jazz:InventoryItem/JAZZ_UVDot_aa12.lua:9 | jazz:items.lua:55349 | jazz:InventoryItem/JAZZ_UVDot_aa12.lua:10 | jazz:items.lua:55350
990002415,Vertical Grip,Вертикальная рукоятка,Vertical Grip,manual-reviewed-human,needs-russian,jazz,990002415 | 990002416 | 990002418 | 990002419 | 990002421 | 990002422,jazz:InventoryItem/JAZZ_VerticalGrip.lua:9 | jazz:items.lua:55368 | jazz:InventoryItem/JAZZ_VerticalGrip.lua:10 | jazz:items.lua:55369 | jazz:InventoryItem/JAZZ_VerticalGrip_Commando.lua:9 | jazz:items.lua:55387 | jazz:InventoryItem/JAZZ_VerticalGrip_Commando.lua:10 | jazz:items.lua:55388 | jazz:InventoryItem/JAZZ_VerticalGrip_M14.lua:9 | jazz:items.lua:55406 | jazz:InventoryItem/JAZZ_VerticalGrip_M14.lua:10 | jazz:items.lua:55407
890000000002808,biff,biff,biff,manual-reviewed-human,needs-russian,jazz-units,890000000002808,jazz-units:items.lua:121021 | jazz-units:UnitData/Jazz_Biff.lua:29
