"ID","SourceText","Russian","English","Notes","Reasons","Packages","AllIDs","Locations"
"104635909892","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Одноручный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Складной приклад
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Скорострельный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Как УЗИшка, только не УЗИ","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Одноручный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Складной приклад
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Скорострельный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Как УЗИшка, только не УЗИ","","manual-translation","needs-english-after-memory-cleanup","jazz","104635909892","jazz:InventoryItem/MAC10.lua:16 | jazz:items.lua:18746"
"109475921134","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дальнобойный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Убойный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Стреляет очередями 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Сильная отдача 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ненадежный","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дальнобойный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Убойный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Стреляет очередями 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Сильная отдача 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ненадежный","","manual-translation","needs-english-after-memory-cleanup","jazz","109475921134","jazz:InventoryItem/AVT40.lua:15 | jazz:items.lua:25362"
"109493312554","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Убойный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Много обвеса","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Убойный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Много обвеса","","manual-translation","needs-english-after-memory-cleanup","jazz","109493312554","jazz:InventoryItem/UMP45.lua:16 | jazz:items.lua:21327"
"119486433731","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дробовик 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный  
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Хороший бой","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дробовик 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный  
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Хороший бой","","manual-translation","needs-english-after-memory-cleanup","jazz","119486433731","jazz:InventoryItem/R870.lua:17 | jazz:items.lua:29751"
"128714866748","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Единый пулемет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Старый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Скорострельный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Большая отдача 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Тяжелый - ограничивает свободу движений","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Единый пулемет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Старый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Скорострельный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Большая отдача 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Тяжелый - ограничивает свободу движений","","manual-translation","needs-english-after-memory-cleanup","jazz","128714866748","jazz:InventoryItem/MG42.lua:16 | jazz:items.lua:28777"
"132438284195","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Нулевая бронебойность
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Высокий шанс критического попадания","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Нулевая бронебойность
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Высокий шанс критического попадания","","manual-translation","needs-english-after-memory-cleanup","jazz","132438284195","jazz:InventoryItem/_50BMG_HE.lua:13 | jazz:items.lua:9975"
"139973629199","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Может стрелять очередями 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Бесшумный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Высокая убойность","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Может стрелять очередями 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Бесшумный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Высокая убойность","","manual-translation","needs-english-after-memory-cleanup","jazz","139973629199","jazz:InventoryItem/AS_Val.lua:16 | jazz:items.lua:22974"
"140416387512","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Не наносит урона
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Почти бесшумно","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Не наносит урона
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Почти бесшумно","","manual-translation","needs-english-after-memory-cleanup","jazz","140416387512 | 651925772567","jazz:InventoryItem/JAZZ_AMMO_MortarShell_Smoke.lua:15 | jazz:items.lua:8752 | jazz:InventoryItem/MortarShell_Smoke.lua:15 | jazz:items.lua:10115"
"142265159773","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Топовый
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Больше не одноручный (по просьбе Ливси)
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Складной приклад
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Скорострельный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Топовый
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Больше не одноручный (по просьбе Ливси)
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Складной приклад
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Скорострельный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный","","manual-translation","needs-english-after-memory-cleanup","jazz","142265159773","jazz:InventoryItem/MP7.lua:16 | jazz:items.lua:21634"
"149238847516","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Увеличенный доп. урон от силы
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Низкая цена атаки","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Увеличенный доп. урон от силы
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Низкая цена атаки","","manual-translation","needs-english-after-memory-cleanup","jazz","149238847516","jazz:InventoryItem/PierreMachete.lua:14 | jazz:items.lua:56541"
"151639464453","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Реактивный гранатомет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Шанс промаха увеличивается с расстоянием 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Опасная зона за спиной стрелка 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Тяжелый - ограничивает свободу движений","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Реактивный гранатомет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Шанс промаха увеличивается с расстоянием 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Опасная зона за спиной стрелка 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Тяжелый - ограничивает свободу движений","","manual-translation","needs-english-after-memory-cleanup","jazz","151639464453","jazz:InventoryItem/RPG7.lua:23 | jazz:items.lua:30628"
"155361024222","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Быстро стреляет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Слабая отдача","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Быстро стреляет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Слабая отдача","","manual-translation","needs-english-after-memory-cleanup","jazz","155361024222","jazz:InventoryItem/Sig550Custom.lua:16 | jazz:items.lua:24697"
"160551721775","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Первый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Старый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ненадежный","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Первый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Старый 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ненадежный","","manual-translation","needs-english-after-memory-cleanup","jazz","160551721775","jazz:InventoryItem/STG44.lua:15 | jazz:items.lua:23093"
"163607039190","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дробовик 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Хороший бой","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дробовик 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Хороший бой","","manual-translation","needs-english-after-memory-cleanup","jazz","163607039190","jazz:InventoryItem/SPAS12.lua:17 | jazz:items.lua:30057"
"164667458744","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ломается ОЧЕНЬ часто
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Плюс 100 к безумию","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ломается ОЧЕНЬ часто
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Плюс 100 к безумию","","manual-translation","needs-english-after-memory-cleanup","jazz","164667458744","jazz:InventoryItem/PostApoHelmet.lua:13 | jazz:items.lua:58393"
"168864708139","Очередь во всю ленту по сектору
не менее 30 патрон должно быть заряжено","Очередь во всю ленту по сектору
не менее 30 патрон должно быть заряжено","","manual-translation","needs-english-after-memory-cleanup","jazz","168864708139","jazz:items.lua:67994"
"169382118769","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Увеличенная эффективность прицеливания
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Повышенный шанс критического попадания
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Увеличенная дальность стрельбы без штрафов","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Увеличенная эффективность прицеливания
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Повышенный шанс критического попадания
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Увеличенная дальность стрельбы без штрафов","","manual-translation","needs-english-after-memory-cleanup","jazz","169382118769","jazz:InventoryItem/_9mm_Match.lua:13 | jazz:items.lua:8927"
"181724059889","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Повышенная бронебойность
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Немного повышенный шанс критического попадания","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Повышенная бронебойность
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Немного повышенный шанс критического попадания","","manual-translation","needs-english-after-memory-cleanup","jazz","181724059889","jazz:InventoryItem/_50BMG_SLAP.lua:13 | jazz:items.lua:10030"
"186387032377","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Удобный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Куча обвесов","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Точный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Удобный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Надежный
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Куча обвесов","","manual-translation","needs-english-after-memory-cleanup","jazz","186387032377","jazz:InventoryItem/P226.lua:16 | jazz:items.lua:18364"
"190771851393","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Уменьшение урона (улучшено обивкой)
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Громоздкое (нет бесплатного перемещения)","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Уменьшение урона (улучшено обивкой)
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Громоздкое (нет бесплатного перемещения)","","manual-translation","needs-english-after-memory-cleanup","jazz","190771851393 | 353912792254 | 463039026973 | 667037980727","jazz:InventoryItem/HeavyArmorTorso_WeavePadding.lua:14 | jazz:items.lua:58079 | jazz:InventoryItem/HeavyArmorHelmet_WeavePadding.lua:14 | jazz:items.lua:57915 | jazz:InventoryItem/HeavyArmorChestplate_WeavePadding.lua:14 | jazz:items.lua:57846 | jazz:InventoryItem/HeavyArmorLeggings_WeavePadding.lua:14 | jazz:items.lua:57985"
"203665951773","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Вызывает <color EmStyle>удушье</color>
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Почти бесшумно","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Вызывает <color EmStyle>удушье</color>
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Почти бесшумно","","manual-translation","needs-english-after-memory-cleanup","jazz","203665951773 | 217868623815","jazz:InventoryItem/JAZZ_AMMO_MortarShell_Gas.lua:15 | jazz:items.lua:8693 | jazz:InventoryItem/MortarShell_Gas.lua:15 | jazz:items.lua:10062"
